"GSM","SampleTitle","Score","GSE","Platform","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied","ScoreZ"
"GSM3964066","M4-01, SKM1.0uM.DMSO.d4.n1.n1",3.1329564768018,"GSE134716","GPL570",NA,"SKM1",NA,FALSE,NA,"none",FALSE,-0.933274497099113
"GSM3964067","M4-17, SKM1.0uM.DMSO.d4.n2.n2",2.9645416195278,"GSE134716","GPL570",NA,"SKM1",NA,FALSE,NA,"none",FALSE,-1.09981795717924
"GSM3964068","M4-02, SKM1.1uM.GSK862.d4.n1.n1",2.9506069975098,"GSE134716","GPL570",NA,"SKM1",NA,FALSE,NA,"none",FALSE,-1.11359774005203
"GSM3964069","M4-18, SKM1.1uM.GSK862.d4.n2.n2",2.9001233372718,"GSE134716","GPL570",NA,"SKM1",NA,FALSE,NA,"none",FALSE,-1.16352043446056
"GSM3964070","M4-07, THP1.0uM.DMSO.d4.n1.n1",2.6707817036478,"GSE134716","GPL570",NA,"THP1",NA,FALSE,NA,"none",FALSE,-1.39031366293463
"GSM3964071","M4-23, THP1.0uM.DMSO.d4.n2.n2",2.7285152260548,"GSE134716","GPL570",NA,"THP1",NA,FALSE,NA,"none",FALSE,-1.33322166559004
"GSM3964072","M4-08, THP1.1uM.GSK862.d4.n1.n1",2.6320210455378,"GSE134716","GPL570",NA,"THP1",NA,FALSE,NA,"none",FALSE,-1.42864361921705
"GSM3964073","M4-24, THP1.1uM.GSK862.d4.n2.n2",2.7340054014558,"GSE134716","GPL570",NA,"THP1",NA,FALSE,NA,"none",FALSE,-1.3277924960825
"GSM3964074","M4-15, SKNO1.0uM.DMSO.d4.n1.n1",3.6403231595088,"GSE134716","GPL570",NA,"SKNO1",NA,FALSE,NA,"none",FALSE,-0.431545586508243
"GSM3964075","M4-31, SKNO1.0uM.DMSO.d4.n2.n2",3.6629693153088,"GSE134716","GPL570",NA,"SKNO1",NA,FALSE,NA,"none",FALSE,-0.409151070932283
