gene,coefficient,aliases,entrez,verified
DNMT3B,0.0874,,,FALSE
ZBTB46,-0.0347,BTBD4,,FALSE
NYNRIN,0.00865,KIAA1305;CGIN1,,FALSE
ARHGAP22,-0.0138,,,FALSE
LAPTM4B,0.00582,,,FALSE
MMRN1,0.0258,,,FALSE
DPYSL3,0.0284,CRMP4,,FALSE
KIAA0125,0.0196,FAM30A,,FALSE
CDK6,-0.0704,,,FALSE
CPXM1,-0.0258,CPXM,,FALSE
SOCS2,0.0271,,,FALSE
SMIM24,-0.0226,C19orf77;HSPC323,,FALSE
EMP1,0.0146,,,FALSE
NGFRAP1,0.0465,BEX3,,FALSE
CD34,0.0338,,,FALSE
AKR1C3,-0.0402,,,FALSE
GPR56,0.0501,ADGRG1,,FALSE
