"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM3573954",1.79392786627343,"GSE125437","NCBI-counts",6,6,"Jurkat.DMSO.24h_Rep2","cell line: Jurkat | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-WT",16036616,"DMSO","Jurkat",NA,TRUE,"control","control"
"GSM3573955",1.81915946315583,"GSE125437","NCBI-counts",6,6,"Jurkat.DMSO.24h_Rep3","cell line: Jurkat | agent: DMSO | concentration: 0.10 percent | time point (hours): 24 | mll fusion type: MLL-WT",14394439,"DMSO","Jurkat",NA,TRUE,"control","control"
"GSM3573956",1.54028672874636,"GSE125437","NCBI-counts",6,6,"MV411.EPZ5676.96h_Rep1","cell line: MV4-11 | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-AF",18265970,"EPZ-5676","MV4-11",NA,FALSE,"EPZ-5676","high"
"GSM3573957",1.59198354739888,"GSE125437","NCBI-counts",6,6,"MV411.EPZ5676.96h_Rep2","cell line: MV4-11 | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-AF",19310806,"EPZ-5676","MV4-11",NA,FALSE,"EPZ-5676","high"
"GSM3573958",1.47090528240055,"GSE125437","NCBI-counts",6,6,"MV411.EPZ5676.96h_Rep3","cell line: MV4-11 | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-AF",15485105,"EPZ-5676","MV4-11",NA,FALSE,"EPZ-5676","high"
"GSM3573959",1.33006123953625,"GSE125437","NCBI-counts",6,6,"MOLM13.EPZ5676.96h_Rep1","cell line: MOLM-13 | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-AF",17991623,"EPZ-5676","MOLM-13",NA,FALSE,"EPZ-5676","high"
"GSM3573960",1.30817100734413,"GSE125437","NCBI-counts",6,6,"MOLM13.EPZ5676.96h_Rep2","cell line: MOLM-13 | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-AF",17246043,"EPZ-5676","MOLM-13",NA,FALSE,"EPZ-5676","high"
"GSM3573961",1.36130591361201,"GSE125437","NCBI-counts",6,6,"MOLM13.EPZ5676.96h_Rep3","cell line: MOLM-13 | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-AF",15927950,"EPZ-5676","MOLM-13",NA,FALSE,"EPZ-5676","high"
"GSM3573962",1.94124590539116,"GSE125437","NCBI-counts",6,6,"NOMO1.EPZ5676.96h_Rep1","cell line: NOMO-1 | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-AF",18769007,"EPZ-5676","NOMO-1",NA,FALSE,"EPZ-5676","high"
"GSM3573963",1.94388981411777,"GSE125437","NCBI-counts",6,6,"NOMO1.EPZ5676.96h_Rep2","cell line: NOMO-1 | agent: EPZ-5676 | concentration: 3uM | time point (hours): 96 | mll fusion type: MLL-AF",15173472,"EPZ-5676","NOMO-1",NA,FALSE,"EPZ-5676","high"
