"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM7044116",1.94965973440663,"GSE225315","NCBI-counts",6,6,"MOLM-13, DMSO, rep 1","cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: DMSO control | time: 72h",18815340,"DMSO control","MOLM-13",NA,TRUE,"control","control"
"GSM7044117",1.97224879179101,"GSE225315","NCBI-counts",6,6,"MOLM-13, DMSO, rep 2","cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: DMSO control | time: 72h",20577238,"DMSO control","MOLM-13",NA,TRUE,"control","control"
"GSM7044118",1.90726145539038,"GSE225315","NCBI-counts",6,6,"MOLM-13, DMSO, rep 3","cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: DMSO control | time: 72h",19483312,"DMSO control","MOLM-13",NA,TRUE,"control","control"
"GSM7044119",2.03262990678673,"GSE225315","NCBI-counts",6,6,"MOLM-13, DMSO, rep 4","cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: DMSO control | time: 72h",25989503,"DMSO control","MOLM-13",NA,TRUE,"control","control"
"GSM7044120",1.86229502006108,"GSE225315","NCBI-counts",6,6,"MOLM-13, PR-957, rep 1","cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: PR-957 | time: 72h",20267076,"PR-957","MOLM-13",NA,FALSE,"PR-957","high"
"GSM7044121",1.88982696472584,"GSE225315","NCBI-counts",6,6,"MOLM-13, PR-957, rep 2","cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: PR-957 | time: 72h",21190435,"PR-957","MOLM-13",NA,FALSE,"PR-957","high"
"GSM7044122",1.79727353353706,"GSE225315","NCBI-counts",6,6,"MOLM-13, PR-957, rep 3","cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: PR-957 | time: 72h",23917349,"PR-957","MOLM-13",NA,FALSE,"PR-957","high"
"GSM7044123",1.82538767582445,"GSE225315","NCBI-counts",6,6,"MOLM-13, PR-957, rep 4","cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: PR-957 | time: 72h",19225634,"PR-957","MOLM-13",NA,FALSE,"PR-957","high"
