"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM7230438",1.6038084383296,"GSE230646","NCBI-counts",6,6,"shRNA control-1_Kasumi-1_RNA-seq","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: scramble shRNA control",26300995,"scramble shRNA control","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"scramble shRNA control","high"
"GSM7230439",1.66318728750229,"GSE230646","NCBI-counts",6,6,"shRNA control-2_Kasumi-1_RNA-seq","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: scramble shRNA control",30440124,"scramble shRNA control","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"scramble shRNA control","high"
"GSM7230440",1.68753188555563,"GSE230646","NCBI-counts",6,6,"shRNA control-3_Kasumi-1_RNA-seq","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: scramble shRNA control",38301469,"scramble shRNA control","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"scramble shRNA control","high"
"GSM7230441",1.70405030966111,"GSE230646","NCBI-counts",6,6,"shRBPMS-1_Kasumi-1_RNA-seq","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: RBPMS knockdown",27802297,"RBPMS knockdown","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"RBPMS knockdown","high"
"GSM7230442",1.6853585384025,"GSE230646","NCBI-counts",6,6,"shRBPMS-2_Kasumi-1_RNA-seq","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: RBPMS knockdown",31381566,"RBPMS knockdown","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"RBPMS knockdown","high"
"GSM7230443",1.70413802013351,"GSE230646","NCBI-counts",6,6,"shRBPMS-3_Kasumi-1_RNA-seq","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: RBPMS knockdown",30693643,"RBPMS knockdown","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"RBPMS knockdown","high"
"GSM7230444",1.83255309137533,"GSE230646","NCBI-counts",6,6,"Kasumi-1_DMSO-1","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: DMSO",16850331,"DMSO","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",TRUE,"control","control"
"GSM7230445",1.86759123874394,"GSE230646","NCBI-counts",6,6,"Kasumi-1_DMSO-2","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: DMSO",18244502,"DMSO","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",TRUE,"control","control"
"GSM7230446",1.68089118919781,"GSE230646","NCBI-counts",6,6,"Kasumi-1_RB98-1","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: RB98#",18007516,"RB98#","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"RB98#","high"
"GSM7230447",1.76043703444501,"GSE230646","NCBI-counts",6,6,"Kasumi-1_RB98-2","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: RB98#",16432767,"RB98#","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"RB98#","high"
"GSM7230448",1.78556344583315,"GSE230646","NCBI-counts",6,6,"Kasumi-1_RIP-IP","tissue: Peripheral blood | cell line: HA RBPMS Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: exogenous RIP-seq",51772794,"exogenous RIP-seq","HA RBPMS Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"exogenous RIP-seq","high"
"GSM7230449",1.83574419848177,"GSE230646","NCBI-counts",6,6,"Kasumi-1_RIP-input","tissue: Peripheral blood | cell line: HA RBPMS Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: exogenous RIP-seq",58191852,"exogenous RIP-seq","HA RBPMS Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"exogenous RIP-seq","high"
"GSM7230450",1.66647635750997,"GSE230646","NCBI-counts",6,6,"Kasumi-1_m6A-IP","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: endogenous m6A",15074310,"endogenous m6A","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"endogenous m6A","high"
"GSM7230451",1.81628168906074,"GSE230646","NCBI-counts",6,6,"Kasumi-1_m6A-input","tissue: Peripheral blood | cell line: Kasumi-1 | cell type: myeloblast | genotype: leukemic cell line with an 8;21 chromosome translocation | treatment: endogenous m6A",15505527,"endogenous m6A","Kasumi-1","leukemic cell line with an 8;21 chromosome translocation",FALSE,"endogenous m6A","high"
