"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM8339821",0.826339706315207,"GSE270338","NCBI-counts",6,6,"Ctrl","cell line: THP-1 | cell type: THP-1 is a monocyte isolated from peripheral blood from an acute monocytic leukemia patient. | genotype: wild type | treatment: untreated",20331089,"untreated","THP-1","wild type",TRUE,"control","control"
"GSM8339822",0.925137925980923,"GSE270338","NCBI-counts",6,6,"Ara-C","cell line: THP-1 | cell type: THP-1 is a monocyte isolated from peripheral blood from an acute monocytic leukemia patient. | genotype: wild type | treatment: cytarabine (20 uM) for 4 days",19707206,"cytarabine (20 uM) for 4 days","THP-1","wild type",FALSE,"cytarabine","high"
"GSM8339824",0.636790293075086,"GSE270338","NCBI-counts",6,6,"FL-Fc","cell line: THP-1 | cell type: THP-1 is a monocyte isolated from peripheral blood from an acute monocytic leukemia patient. | genotype: wild type | treatment: treated by cytarabine (20 uM) for 3 days, and then treated with FL-Fc (5 nM) for 1 day in the absence of cytarabine",23967571,"treated by cytarabine (20 uM) for 3 days, and then treated with FL-Fc (5 nM) for 1 day in the absence of cytarabine","THP-1","wild type",FALSE,"by cytarabine , and then FL-Fc in absence cytarabine","low"
