"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM7830890",2.02628191935339,"GSE244855","NCBI-counts",6,6,"MOLM13-RES_RNA_DMSO_rep1","cell line: MOLM13-RES | cell type: acute myeloid leukemia | treatment: DMSO",24477619,"DMSO","MOLM13-RES",NA,TRUE,"control","control"
"GSM7830891",2.0140296543224,"GSE244855","NCBI-counts",6,6,"MOLM13-RES_RNA_DMSO_rep2","cell line: MOLM13-RES | cell type: acute myeloid leukemia | treatment: DMSO",26216654,"DMSO","MOLM13-RES",NA,TRUE,"control","control"
"GSM7830892",2.03115741279997,"GSE244855","NCBI-counts",6,6,"MOLM13-RES_RNA_DMSO_rep3","cell line: MOLM13-RES | cell type: acute myeloid leukemia | treatment: DMSO",29681155,"DMSO","MOLM13-RES",NA,TRUE,"control","control"
"GSM7830893",1.79021400288666,"GSE244855","NCBI-counts",6,6,"MOLM13-RES_RNA_GIL_rep1","cell line: MOLM13-RES | cell type: acute myeloid leukemia | treatment: Gilteritinib",22747081,"Gilteritinib","MOLM13-RES",NA,FALSE,"Gilteritinib","high"
"GSM7830894",1.89122953803571,"GSE244855","NCBI-counts",6,6,"MOLM13-RES_RNA_GIL_rep2","cell line: MOLM13-RES | cell type: acute myeloid leukemia | treatment: Gilteritinib",20044587,"Gilteritinib","MOLM13-RES",NA,FALSE,"Gilteritinib","high"
"GSM7830896",2.06809483411946,"GSE244855","NCBI-counts",6,6,"MOLM13-RES_RNA_MET_rep1","cell line: MOLM13-RES | cell type: acute myeloid leukemia | treatment: Metformin",29186719,"Metformin","MOLM13-RES",NA,FALSE,"Metformin","high"
"GSM7830897",1.90965376443583,"GSE244855","NCBI-counts",6,6,"MOLM13-RES_RNA_MET_rep2","cell line: MOLM13-RES | cell type: acute myeloid leukemia | treatment: Metformin",24507523,"Metformin","MOLM13-RES",NA,FALSE,"Metformin","high"
"GSM7830898",2.0850240629396,"GSE244855","NCBI-counts",6,6,"MOLM13-RES_RNA_MET_rep3","cell line: MOLM13-RES | cell type: acute myeloid leukemia | treatment: Metformin",29546483,"Metformin","MOLM13-RES",NA,FALSE,"Metformin","high"
"GSM7830899",2.03035350500787,"GSE244855","NCBI-counts",6,6,"MOLM13-RES_RNA_GIL+MET_rep1","cell line: MOLM13-RES | cell type: acute myeloid leukemia | treatment: Gilteritinib+Metformin",24929234,"Gilteritinib+Metformin","MOLM13-RES",NA,FALSE,"Gilteritinib+Metformin","high"
"GSM7830900",2.0321284556538,"GSE244855","NCBI-counts",6,6,"MOLM13-RES_RNA_GIL+MET_rep2","cell line: MOLM13-RES | cell type: acute myeloid leukemia | treatment: Gilteritinib+Metformin",26149093,"Gilteritinib+Metformin","MOLM13-RES",NA,FALSE,"Gilteritinib+Metformin","high"
"GSM7830901",2.04773932712278,"GSE244855","NCBI-counts",6,6,"MOLM13-RES_RNA_GIL+MET_rep3","cell line: MOLM13-RES | cell type: acute myeloid leukemia | treatment: Gilteritinib+Metformin",23520468,"Gilteritinib+Metformin","MOLM13-RES",NA,FALSE,"Gilteritinib+Metformin","high"
