"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM6721919",1.7993793879456,"GSE217572","NCBI-counts",6,6,"A_S-3","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: AZA+Spautin-1",19450492,"AZA+Spautin-1","THP-1",NA,FALSE,"AZA+Spautin-1","high"
"GSM6721920",1.86372511909768,"GSE217572","NCBI-counts",6,6,"AZA-1","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: AZA +0.1% DMSO",34006932,"AZA +0.1% DMSO","THP-1",NA,TRUE,"control","control"
"GSM6721921",1.89496613374526,"GSE217572","NCBI-counts",6,6,"AZA-2","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: AZA +0.1% DMSO",30924788,"AZA +0.1% DMSO","THP-1",NA,TRUE,"control","control"
"GSM6721922",1.87902198314014,"GSE217572","NCBI-counts",6,6,"AZA-3","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: AZA +0.1% DMSO",21080087,"AZA +0.1% DMSO","THP-1",NA,TRUE,"control","control"
"GSM6721923",1.83696213678313,"GSE217572","NCBI-counts",6,6,"CT-1","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: 0.1% DMSO",19579448,"0.1% DMSO","THP-1",NA,TRUE,"control","control"
"GSM6721924",1.86593125547869,"GSE217572","NCBI-counts",6,6,"CT-2","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: 0.1% DMSO",22383041,"0.1% DMSO","THP-1",NA,TRUE,"control","control"
"GSM6721925",1.82995661303553,"GSE217572","NCBI-counts",6,6,"CT-3","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: 0.1% DMSO",31483563,"0.1% DMSO","THP-1",NA,TRUE,"control","control"
"GSM6721926",1.87442211679663,"GSE217572","NCBI-counts",6,6,"SPA-1","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: Spautin-1",22284199,"Spautin-1","THP-1",NA,FALSE,"Spautin-1","high"
"GSM6721927",2.0004764282596,"GSE217572","NCBI-counts",6,6,"SPA-2","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: Spautin-1",18464839,"Spautin-1","THP-1",NA,FALSE,"Spautin-1","high"
"GSM6721928",1.99140707771521,"GSE217572","NCBI-counts",6,6,"SPA-3","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: Spautin-1",23750582,"Spautin-1","THP-1",NA,FALSE,"Spautin-1","high"
