"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM6634716",1.73580526012335,"GSE215385","NCBI-counts",6,6,"NALM-6 cells, vehicle, Rep 1","cell line: NALM-6 | cell type: B cell acute lymphoblastic leukemia | genotype: t(5;12) ETV6/PDGFRB | treatment: 0.1percent DMSO",16767801,"0.1percent DMSO","NALM-6","t(5;12) ETV6/PDGFRB",TRUE,"control","control"
"GSM6634717",1.726148822668,"GSE215385","NCBI-counts",6,6,"NALM-6 cells, vehicle, Rep 2","cell line: NALM-6 | cell type: B cell acute lymphoblastic leukemia | genotype: t(5;12) ETV6/PDGFRB | treatment: 0.1percent DMSO",21385032,"0.1percent DMSO","NALM-6","t(5;12) ETV6/PDGFRB",TRUE,"control","control"
"GSM6634718",1.78445331309946,"GSE215385","NCBI-counts",6,6,"NALM-6 cells, vehicle, Rep 3","cell line: NALM-6 | cell type: B cell acute lymphoblastic leukemia | genotype: t(5;12) ETV6/PDGFRB | treatment: 0.1percent DMSO",20019870,"0.1percent DMSO","NALM-6","t(5;12) ETV6/PDGFRB",TRUE,"control","control"
"GSM6634719",2.23620140845021,"GSE215385","NCBI-counts",6,6,"NALM-6 cells, low dex (5 nM), idelalisib (250 nM), Rep 1","cell line: NALM-6 | cell type: B cell acute lymphoblastic leukemia | genotype: t(5;12) ETV6/PDGFRB | treatment: 5 nM Dexamethasone, 250 nM Idelalisib",22638362,"5 nM Dexamethasone, 250 nM Idelalisib","NALM-6","t(5;12) ETV6/PDGFRB",FALSE,"Dexamethasone, Idelalisib","low"
"GSM6634720",2.21035339809241,"GSE215385","NCBI-counts",6,6,"NALM-6 cells, low dex (5 nM), idelalisib (250 nM), Rep 2","cell line: NALM-6 | cell type: B cell acute lymphoblastic leukemia | genotype: t(5;12) ETV6/PDGFRB | treatment: 5 nM Dexamethasone, 250 nM Idelalisib",18532715,"5 nM Dexamethasone, 250 nM Idelalisib","NALM-6","t(5;12) ETV6/PDGFRB",FALSE,"Dexamethasone, Idelalisib","low"
"GSM6634721",2.20251765201535,"GSE215385","NCBI-counts",6,6,"NALM-6 cells, low dex (5 nM), idelalisib (250 nM), Rep 3","cell line: NALM-6 | cell type: B cell acute lymphoblastic leukemia | genotype: t(5;12) ETV6/PDGFRB | treatment: 5 nM Dexamethasone, 250 nM Idelalisib",26145176,"5 nM Dexamethasone, 250 nM Idelalisib","NALM-6","t(5;12) ETV6/PDGFRB",FALSE,"Dexamethasone, Idelalisib","low"
"GSM6634722",2.42699967615135,"GSE215385","NCBI-counts",6,6,"NALM-6 cells, high dex (50 nM), idelalisib (250 nM), Rep 1","cell line: NALM-6 | cell type: B cell acute lymphoblastic leukemia | genotype: t(5;12) ETV6/PDGFRB | treatment: 50 nM Dexamethasone, 250 nM Idelalisib",18648039,"50 nM Dexamethasone, 250 nM Idelalisib","NALM-6","t(5;12) ETV6/PDGFRB",FALSE,"Dexamethasone, Idelalisib","low"
"GSM6634723",2.42481540423863,"GSE215385","NCBI-counts",6,6,"NALM-6 cells, high dex (50 nM), idelalisib (250 nM), Rep 2","cell line: NALM-6 | cell type: B cell acute lymphoblastic leukemia | genotype: t(5;12) ETV6/PDGFRB | treatment: 50 nM Dexamethasone, 250 nM Idelalisib",16371275,"50 nM Dexamethasone, 250 nM Idelalisib","NALM-6","t(5;12) ETV6/PDGFRB",FALSE,"Dexamethasone, Idelalisib","low"
"GSM6634724",2.42561098902479,"GSE215385","NCBI-counts",6,6,"NALM-6 cells, high dex (50 nM), idelalisib (250 nM), Rep 3","cell line: NALM-6 | cell type: B cell acute lymphoblastic leukemia | genotype: t(5;12) ETV6/PDGFRB | treatment: 50 nM Dexamethasone, 250 nM Idelalisib",25941944,"50 nM Dexamethasone, 250 nM Idelalisib","NALM-6","t(5;12) ETV6/PDGFRB",FALSE,"Dexamethasone, Idelalisib","low"
"GSM6634725",1.89709551476917,"GSE215385","NCBI-counts",6,6,"NALM-6 cells, idelalisib (250 nM), Rep 1","cell line: NALM-6 | cell type: B cell acute lymphoblastic leukemia | genotype: t(5;12) ETV6/PDGFRB | treatment: 250 nM Idelalisib",20536309,"250 nM Idelalisib","NALM-6","t(5;12) ETV6/PDGFRB",FALSE,"Idelalisib","high"
