"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM8281089",3.31531426339795,"GSE267885","NCBI-counts",6,6,"KG1a_ctrl-1","cell line: KG1a | cell type: acute myeloid leukemia | treatment: vehicle control",29736762,"vehicle control","KG1a",NA,TRUE,"control","control"
"GSM8281090",3.31533453876719,"GSE267885","NCBI-counts",6,6,"KG1a_ctrl-2","cell line: KG1a | cell type: acute myeloid leukemia | treatment: vehicle control",31593208,"vehicle control","KG1a",NA,TRUE,"control","control"
"GSM8281091",3.32506945695902,"GSE267885","NCBI-counts",6,6,"KG1a_TAK-1","cell line: KG1a | cell type: acute myeloid leukemia | treatment: TAK-981",30384862,"TAK-981","KG1a",NA,FALSE,"TAK-981","high"
"GSM8281092",3.38891502650158,"GSE267885","NCBI-counts",6,6,"KG1a_TAK-2","cell line: KG1a | cell type: acute myeloid leukemia | treatment: TAK-981",23265464,"TAK-981","KG1a",NA,FALSE,"TAK-981","high"
"GSM8281093",2.99729598135062,"GSE267885","NCBI-counts",6,6,"KG1a_VEN-1","cell line: KG1a | cell type: acute myeloid leukemia | treatment: venetoclax",24967924,"venetoclax","KG1a",NA,FALSE,"venetoclax","high"
"GSM8281094",3.23232380308971,"GSE267885","NCBI-counts",6,6,"KG1a_VEN-2","cell line: KG1a | cell type: acute myeloid leukemia | treatment: venetoclax",36568271,"venetoclax","KG1a",NA,FALSE,"venetoclax","high"
"GSM8281095",3.20763633024243,"GSE267885","NCBI-counts",6,6,"KG1a_T-Plus-V-1","cell line: KG1a | cell type: acute myeloid leukemia | treatment: TAK-981 + venetoclax",31194669,"TAK-981 + venetoclax","KG1a",NA,FALSE,"TAK-981 + venetoclax","high"
"GSM8281096",3.16201218350893,"GSE267885","NCBI-counts",6,6,"KG1a_T-Plus-V-2","cell line: KG1a | cell type: acute myeloid leukemia | treatment: TAK-981 + venetoclax",21171418,"TAK-981 + venetoclax","KG1a",NA,FALSE,"TAK-981 + venetoclax","high"
