"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM6423642",1.16161031724306,"GSE210212","NCBI-counts",6,6,"Ctrl rep1","cell line: CCRF-CEM | cell type: T cell leukemia | genotype: CCRF-CEM/HA-AMPKa2 | treatment: No treatment",112128782,"No treatment","CCRF-CEM","CCRF-CEM/HA-AMPKa2",FALSE,"No","high"
"GSM6423643",1.15007224096078,"GSE210212","NCBI-counts",6,6,"Ctrl rep2","cell line: CCRF-CEM | cell type: T cell leukemia | genotype: CCRF-CEM/HA-AMPKa2 | treatment: No treatment",28428122,"No treatment","CCRF-CEM","CCRF-CEM/HA-AMPKa2",FALSE,"No","high"
"GSM6423645",0.916886943544129,"GSE210212","NCBI-counts",6,6,"No glucose rep2","cell line: CCRF-CEM | cell type: T cell leukemia | genotype: CCRF-CEM/HA-AMPKa2 | treatment: Glucose deprivation for 24h",24717215,"Glucose deprivation for 24h","CCRF-CEM","CCRF-CEM/HA-AMPKa2",FALSE,"Glucose deprivation","high"
