"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM3983948",1.42106238739854,"GSE135030","NCBI-counts",6,6,"EHEB_CTRL_DMSO_133","cell line: EHEB | treatment: DMSO",20542183,"DMSO","EHEB",NA,TRUE,"control","control"
"GSM3983949",1.41653383131754,"GSE135030","NCBI-counts",6,6,"EHEB_CTRL_DMSO_134","cell line: EHEB | treatment: DMSO",20859122,"DMSO","EHEB",NA,TRUE,"control","control"
"GSM3983950",1.41516231394512,"GSE135030","NCBI-counts",6,6,"EHEB_CTRL_DMSO_135","cell line: EHEB | treatment: DMSO",22296365,"DMSO","EHEB",NA,TRUE,"control","control"
"GSM3983951",1.66619095862827,"GSE135030","NCBI-counts",6,6,"EHEB_Flud_50uM_142","cell line: EHEB | treatment: Flud_50uM",13275346,"Flud_50uM","EHEB",NA,FALSE,"Flud_50uM","high"
"GSM3983952",1.7862309941756,"GSE135030","NCBI-counts",6,6,"EHEB_Flud_50uM_143","cell line: EHEB | treatment: Flud_50uM",15327542,"Flud_50uM","EHEB",NA,FALSE,"Flud_50uM","high"
"GSM3983953",1.85073249122458,"GSE135030","NCBI-counts",6,6,"EHEB_Flud_50uM_144","cell line: EHEB | treatment: Flud_50uM",17052080,"Flud_50uM","EHEB",NA,FALSE,"Flud_50uM","high"
"GSM3983954",1.34800584086467,"GSE135030","NCBI-counts",6,6,"EHEB_Ibru_5uM_280","cell line: EHEB | treatment: Ibru_5uM",20043575,"Ibru_5uM","EHEB",NA,FALSE,"Ibru_5uM","high"
"GSM3983955",1.34142739465526,"GSE135030","NCBI-counts",6,6,"EHEB_Ibru_5uM_281","cell line: EHEB | treatment: Ibru_5uM",14562577,"Ibru_5uM","EHEB",NA,FALSE,"Ibru_5uM","high"
"GSM3983956",1.25222497883895,"GSE135030","NCBI-counts",6,6,"EHEB_Ibru_5uM_282","cell line: EHEB | treatment: Ibru_5uM",21925361,"Ibru_5uM","EHEB",NA,FALSE,"Ibru_5uM","high"
"GSM3983957",1.4409171199069,"GSE135030","NCBI-counts",6,6,"EHEB_Idel_10uM_286","cell line: EHEB | treatment: Idel_10uM",13235633,"Idel_10uM","EHEB",NA,FALSE,"Idel_10uM","high"
"GSM3983958",1.37082373099829,"GSE135030","NCBI-counts",6,6,"EHEB_Idel_10uM_287","cell line: EHEB | treatment: Idel_10uM",21134548,"Idel_10uM","EHEB",NA,FALSE,"Idel_10uM","high"
"GSM3983959",1.32957842352164,"GSE135030","NCBI-counts",6,6,"EHEB_Idel_10uM_288","cell line: EHEB | treatment: Idel_10uM",14432710,"Idel_10uM","EHEB",NA,FALSE,"Idel_10uM","high"
"GSM3983960",0.541001959028566,"GSE135030","NCBI-counts",6,6,"JVM2_CTRL_DMSO_85","cell line: JVM2 | treatment: DMSO",19121593,"DMSO","JVM2",NA,TRUE,"control","control"
"GSM3983961",0.519850185098041,"GSE135030","NCBI-counts",6,6,"JVM2_CTRL_DMSO_86","cell line: JVM2 | treatment: DMSO",23854342,"DMSO","JVM2",NA,TRUE,"control","control"
"GSM3983962",0.544402141292609,"GSE135030","NCBI-counts",6,6,"JVM2_CTRL_DMSO_87","cell line: JVM2 | treatment: DMSO",25741705,"DMSO","JVM2",NA,TRUE,"control","control"
"GSM3983963",1.00397498209611,"GSE135030","NCBI-counts",6,6,"JVM2_Flud_50uM_94","cell line: JVM2 | treatment: Flud_50uM",22406028,"Flud_50uM","JVM2",NA,FALSE,"Flud_50uM","high"
"GSM3983964",0.961019966080393,"GSE135030","NCBI-counts",6,6,"JVM2_Flud_50uM_95","cell line: JVM2 | treatment: Flud_50uM",22511323,"Flud_50uM","JVM2",NA,FALSE,"Flud_50uM","high"
"GSM3983965",0.969891159450945,"GSE135030","NCBI-counts",6,6,"JVM2_Flud_50uM_96","cell line: JVM2 | treatment: Flud_50uM",20389712,"Flud_50uM","JVM2",NA,FALSE,"Flud_50uM","high"
"GSM3983966",0.427775721070617,"GSE135030","NCBI-counts",6,6,"JVM2_Ibru_5uM_232","cell line: JVM2 | treatment: Ibru_5uM",27112352,"Ibru_5uM","JVM2",NA,FALSE,"Ibru_5uM","high"
"GSM3983967",0.500614809120531,"GSE135030","NCBI-counts",6,6,"JVM2_Ibru_5uM_233","cell line: JVM2 | treatment: Ibru_5uM",16842161,"Ibru_5uM","JVM2",NA,FALSE,"Ibru_5uM","high"
"GSM3983968",0.488576065969784,"GSE135030","NCBI-counts",6,6,"JVM2_Ibru_5uM_234","cell line: JVM2 | treatment: Ibru_5uM",20575029,"Ibru_5uM","JVM2",NA,FALSE,"Ibru_5uM","high"
"GSM3983969",0.533573447157779,"GSE135030","NCBI-counts",6,6,"JVM2_Idel_10uM_238","cell line: JVM2 | treatment: Idel_10uM",18393155,"Idel_10uM","JVM2",NA,FALSE,"Idel_10uM","high"
"GSM3983970",0.528180122271085,"GSE135030","NCBI-counts",6,6,"JVM2_Idel_10uM_239","cell line: JVM2 | treatment: Idel_10uM",20341383,"Idel_10uM","JVM2",NA,FALSE,"Idel_10uM","high"
"GSM3983971",0.66481027684575,"GSE135030","NCBI-counts",6,6,"JVM2_Idel_10uM_240","cell line: JVM2 | treatment: Idel_10uM",24900797,"Idel_10uM","JVM2",NA,FALSE,"Idel_10uM","high"
"GSM3983972",0.654470858937831,"GSE135030","NCBI-counts",6,6,"MEC1_DMSO_CTRL_48h_37","cell line: MEC1 | treatment: DMSO",24333448,"DMSO","MEC1",NA,TRUE,"control","control"
"GSM3983973",0.714615702684585,"GSE135030","NCBI-counts",6,6,"MEC1_DMSO_CTRL_48h_38","cell line: MEC1 | treatment: DMSO",25266834,"DMSO","MEC1",NA,TRUE,"control","control"
"GSM3983974",0.613594315219938,"GSE135030","NCBI-counts",6,6,"MEC1_DMSO_CTRL_48h_39","cell line: MEC1 | treatment: DMSO",21005241,"DMSO","MEC1",NA,TRUE,"control","control"
"GSM3983975",1.13963522620977,"GSE135030","NCBI-counts",6,6,"MEC1_Flud_50uM_48h_46","cell line: MEC1 | treatment: Flud_50uM",15057657,"Flud_50uM","MEC1",NA,FALSE,"Flud_50uM","high"
"GSM3983976",1.05349988918552,"GSE135030","NCBI-counts",6,6,"MEC1_Flud_50uM_48h_47","cell line: MEC1 | treatment: Flud_50uM",17865479,"Flud_50uM","MEC1",NA,FALSE,"Flud_50uM","high"
"GSM3983977",1.14162280433251,"GSE135030","NCBI-counts",6,6,"MEC1_Flud_50uM_48h_48","cell line: MEC1 | treatment: Flud_50uM",13600896,"Flud_50uM","MEC1",NA,FALSE,"Flud_50uM","high"
"GSM3983978",0.751345542674762,"GSE135030","NCBI-counts",6,6,"MEC1_Ibru_5uM_48h_184","cell line: MEC1 | treatment: Ibru_5uM",23083644,"Ibru_5uM","MEC1",NA,FALSE,"Ibru_5uM","high"
"GSM3983979",0.751886479820052,"GSE135030","NCBI-counts",6,6,"MEC1_Ibru_5uM_48h_185","cell line: MEC1 | treatment: Ibru_5uM",19578101,"Ibru_5uM","MEC1",NA,FALSE,"Ibru_5uM","high"
"GSM3983980",0.726216177448546,"GSE135030","NCBI-counts",6,6,"MEC1_Ibru_5uM_48h_186","cell line: MEC1 | treatment: Ibru_5uM",21357295,"Ibru_5uM","MEC1",NA,FALSE,"Ibru_5uM","high"
"GSM3983981",0.71279349453485,"GSE135030","NCBI-counts",6,6,"MEC1_Idel_10uM_48h_190","cell line: MEC1 | treatment: Idel_10uM",17662983,"Idel_10uM","MEC1",NA,FALSE,"Idel_10uM","high"
"GSM3983982",0.69561293866327,"GSE135030","NCBI-counts",6,6,"MEC1_Idel_10uM_48h_191","cell line: MEC1 | treatment: Idel_10uM",20993652,"Idel_10uM","MEC1",NA,FALSE,"Idel_10uM","high"
"GSM3983983",0.629715670797518,"GSE135030","NCBI-counts",6,6,"MEC1_Idel_10uM_48h_192","cell line: MEC1 | treatment: Idel_10uM",21462196,"Idel_10uM","MEC1",NA,FALSE,"Idel_10uM","high"
