"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM5534620",1.59134444093491,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 Control 24hr replicate 1","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: control",23107453,"control","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534621",1.60313610080243,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 Control 24hr replicate 2","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: control",17722657,"control","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534622",1.59366142497374,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 Control 24hr replicate 3","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: control",15306282,"control","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534623",1.88618044062449,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 Dasatinib 24hr replicate 1","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: dasatininb",22795310,"dasatininb","human T cell leukemia cells",NA,FALSE,"dasatininb","high"
"GSM5534624",1.86045961643249,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 Dasatinib 24hr replicate 2","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: dasatininb",20631740,"dasatininb","human T cell leukemia cells",NA,FALSE,"dasatininb","high"
"GSM5534625",1.81062543140616,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 Dasatinib 24hr replicate 3","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: dasatininb",21335148,"dasatininb","human T cell leukemia cells",NA,FALSE,"dasatininb","high"
"GSM5534626",1.50021521420447,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 Control replicate 1","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: control",21942149,"control","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534627",1.49072617453821,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 Control replicate 2","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: control",35936293,"control","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534628",1.45982892886219,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 Control replicate 3","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: control",29923846,"control","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534629",1.70565226206531,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 shUSP11 replicate 1","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: shUSP11",33433146,"shUSP11","human T cell leukemia cells",NA,FALSE,"shUSP11","high"
"GSM5534630",1.61986360407184,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 shUSP11 replicate 2","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: shUSP12",16805381,"shUSP12","human T cell leukemia cells",NA,FALSE,"shUSP12","high"
"GSM5534631",1.66383499130824,"GSE182680","NCBI-counts",6,6,"RNA-seq CUTLL1 shUSP11 replicate 3","cell type: human T cell leukemia cells | cell line: CUTLL1 | treatment: shUSP13",31562379,"shUSP13","human T cell leukemia cells",NA,FALSE,"shUSP13","high"
"GSM5534632",2.51573325594735,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 DMSO 48hr replicate 1","cell type: human T cell leukemia cells | cell line: DND41 | treatment: DMSO",32966225,"DMSO","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534633",2.48576232032459,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 DMSO 48hr replicate 2","cell type: human T cell leukemia cells | cell line: DND41 | treatment: DMSO",29105135,"DMSO","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534634",2.48937117572743,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 DMSO 48hr replicate 3","cell type: human T cell leukemia cells | cell line: DND41 | treatment: DMSO",34384613,"DMSO","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534635",2.59614357705614,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 Dex 48hr replicate 1","cell type: human T cell leukemia cells | cell line: DND41 | treatment: Dex",34404789,"Dex","human T cell leukemia cells",NA,FALSE,"Dex","high"
"GSM5534636",2.58341840451463,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 Dex 48hr replicate 2","cell type: human T cell leukemia cells | cell line: DND41 | treatment: Dex",38366497,"Dex","human T cell leukemia cells",NA,FALSE,"Dex","high"
"GSM5534637",2.58686647055965,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 Dex 48hr replicate 3","cell type: human T cell leukemia cells | cell line: DND41 | treatment: Dex",30245679,"Dex","human T cell leukemia cells",NA,FALSE,"Dex","high"
"GSM5534638",2.55806251017217,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 USP7i 48hr replicate 1","cell type: human T cell leukemia cells | cell line: DND41 | treatment: USP7i",26159015,"USP7i","human T cell leukemia cells",NA,FALSE,"USP7i","high"
"GSM5534639",2.51732670537419,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 USP7i 48hr replicate 2","cell type: human T cell leukemia cells | cell line: DND41 | treatment: USP7i",31691145,"USP7i","human T cell leukemia cells",NA,FALSE,"USP7i","high"
"GSM5534640",2.53933322210539,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 USP7i 48hr replicate 3","cell type: human T cell leukemia cells | cell line: DND41 | treatment: USP7i",27348310,"USP7i","human T cell leukemia cells",NA,FALSE,"USP7i","high"
"GSM5534641",2.55774280104252,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 Dex USP7i 48hr replicate 1","cell type: human T cell leukemia cells | cell line: DND41 | treatment: Dex and USP7i",16332754,"Dex and USP7i","human T cell leukemia cells",NA,FALSE,"Dex and USP7i","high"
"GSM5534642",2.57237959942603,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 Dex USP7i 48hr replicate 2","cell type: human T cell leukemia cells | cell line: DND41 | treatment: Dex and USP7i",15523663,"Dex and USP7i","human T cell leukemia cells",NA,FALSE,"Dex and USP7i","high"
"GSM5534643",2.57370825332736,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 Dex USP7i 48hr replicate 3","cell type: human T cell leukemia cells | cell line: DND41 | treatment: Dex and USP7i",25774720,"Dex and USP7i","human T cell leukemia cells",NA,FALSE,"Dex and USP7i","high"
"GSM5534644",2.15559502830473,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 DMSO 72hr replicate 1","cell type: human T cell leukemia cells | cell line: DND41 | treatment: DMSO",14953508,"DMSO","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534645",2.12128377613818,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 DMSO 72hr replicate 2","cell type: human T cell leukemia cells | cell line: DND41 | treatment: DMSO",20014854,"DMSO","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534646",2.17688879562051,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 DMSO 72hr replicate 3","cell type: human T cell leukemia cells | cell line: DND41 | treatment: DMSO",16786315,"DMSO","human T cell leukemia cells",NA,TRUE,"control","control"
"GSM5534647",2.2645408085539,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 Dex 72hr replicate 1","cell type: human T cell leukemia cells | cell line: DND41 | treatment: Dex",13934649,"Dex","human T cell leukemia cells",NA,FALSE,"Dex","high"
"GSM5534648",2.30916571751048,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 Dex 72hr replicate 2","cell type: human T cell leukemia cells | cell line: DND41 | treatment: Dex",10891600,"Dex","human T cell leukemia cells",NA,FALSE,"Dex","high"
"GSM5534649",2.20803464748795,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 Dex 72hr replicate 3","cell type: human T cell leukemia cells | cell line: DND41 | treatment: Dex",16568306,"Dex","human T cell leukemia cells",NA,FALSE,"Dex","high"
"GSM5534650",2.14436987415612,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 USP7i 72hr replicate 1","cell type: human T cell leukemia cells | cell line: DND41 | treatment: USP7i",14434574,"USP7i","human T cell leukemia cells",NA,FALSE,"USP7i","high"
"GSM5534651",2.139164314329,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 USP7i 72hr replicate 2","cell type: human T cell leukemia cells | cell line: DND41 | treatment: USP7i",15742220,"USP7i","human T cell leukemia cells",NA,FALSE,"USP7i","high"
"GSM5534652",2.15275459803822,"GSE182680","NCBI-counts",6,6,"RNA-seq DND41 USP7i 72hr replicate 3","cell type: human T cell leukemia cells | cell line: DND41 | treatment: USP7i",12774765,"USP7i","human T cell leukemia cells",NA,FALSE,"USP7i","high"
