"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM7170136",2.61080540568544,"GSE229663","NCBI-counts",6,6,"RNA-seq in FKBP12 tagged UBTF-TD54 cbCD34+ cells treated with DMSO, C2","cell type: cord-blood CD34+ Cells expressing FKPB12-F36V::UBTF-TD | treatment: cbCD34+ cells treated with DMSO",32067731,"cbCD34+ cells treated with DMSO","cord-blood CD34+ Cells expressing FKPB12-F36V::UBTF-TD",NA,TRUE,"control","control"
"GSM7170137",2.58144246460462,"GSE229663","NCBI-counts",6,6,"RNA-seq in FKBP12 tagged UBTF-TD54 cbCD34+ cells treated with DMSO, C3","cell type: cord-blood CD34+ Cells expressing FKPB12-F36V::UBTF-TD | treatment: cbCD34+ cells treated with DMSO",37270944,"cbCD34+ cells treated with DMSO","cord-blood CD34+ Cells expressing FKPB12-F36V::UBTF-TD",NA,TRUE,"control","control"
"GSM7170139",2.07896181360046,"GSE229663","NCBI-counts",6,6,"RNA-seq in FKBP12 tagged UBTF-TD54 cbCD34+ cells treated with dTAG-13, C5","cell type: cord-blood CD34+ Cells expressing FKPB12-F36V::UBTF-TD | treatment: cbCD34+ cells treated with dTAG-13",22921215,"cbCD34+ cells treated with dTAG-13","cord-blood CD34+ Cells expressing FKPB12-F36V::UBTF-TD",NA,FALSE,"cbCD34+ cells dTAG-13","high"
"GSM7170141",3.09301358849836,"GSE229663","NCBI-counts",6,6,"RNA-seq of bone marrow cells from UBTF-TD PDX model treated with Veh, R15","cell type: human blasts from UBTF-TD PDX Model | treatment: UBTF-TD PDX model treated with Veh",43405110,"UBTF-TD PDX model treated with Veh","human blasts from UBTF-TD PDX Model",NA,FALSE,"UBTF-TD PDX model Veh","low"
"GSM7170142",3.04813764251248,"GSE229663","NCBI-counts",6,6,"RNA-seq of bone marrow cells from UBTF-TD PDX model treated with Veh, R16","cell type: human blasts from UBTF-TD PDX Model | treatment: UBTF-TD PDX model treated with Veh",65199434,"UBTF-TD PDX model treated with Veh","human blasts from UBTF-TD PDX Model",NA,FALSE,"UBTF-TD PDX model Veh","low"
"GSM7170144",2.58405729885829,"GSE229663","NCBI-counts",6,6,"RNA-seq of bone marrow cells from UBTF-TD PDX model treated with SNDX, R18","cell type: human blasts from UBTF-TD PDX Model | treatment: UBTF-TD PDX model treated with SNDX",50022246,"UBTF-TD PDX model treated with SNDX","human blasts from UBTF-TD PDX Model",NA,FALSE,"UBTF-TD PDX model SNDX","low"
"GSM7170145",2.93661830146396,"GSE229663","NCBI-counts",6,6,"RNA-seq of bone marrow cells from UBTF-TD PDX model treated with SNDX, R19","cell type: human blasts from UBTF-TD PDX Model | treatment: UBTF-TD PDX model treated with SNDX",76194649,"UBTF-TD PDX model treated with SNDX","human blasts from UBTF-TD PDX Model",NA,FALSE,"UBTF-TD PDX model SNDX","low"
"GSM7170146",2.8962128044045,"GSE229663","NCBI-counts",6,6,"RNA-seq of bone marrow cells from UBTF-TD PDX model treated with SNDX, R20","cell type: human blasts from UBTF-TD PDX Model | treatment: UBTF-TD PDX model treated with SNDX",46721020,"UBTF-TD PDX model treated with SNDX","human blasts from UBTF-TD PDX Model",NA,FALSE,"UBTF-TD PDX model SNDX","low"
