"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM4706175",1.54808948999879,"GSE155559","NCBI-counts",6,6,"P401_DMSO_1","cell type: Human primary leukopheresis sample | treatment: DMSO",47878296,"DMSO","Human primary leukopheresis sample",NA,TRUE,"control","control"
"GSM4706176",1.55121550489495,"GSE155559","NCBI-counts",6,6,"P401_DMSO_2","cell type: Human primary leukopheresis sample | treatment: DMSO",65876427,"DMSO","Human primary leukopheresis sample",NA,TRUE,"control","control"
"GSM4706177",1.56335873297073,"GSE155559","NCBI-counts",6,6,"P401_DMSO_3","cell type: Human primary leukopheresis sample | treatment: DMSO",69758280,"DMSO","Human primary leukopheresis sample",NA,TRUE,"control","control"
"GSM4706178",1.5345524189307,"GSE155559","NCBI-counts",6,6,"P401_DMSO_4","cell type: Human primary leukopheresis sample | treatment: DMSO",56939232,"DMSO","Human primary leukopheresis sample",NA,TRUE,"control","control"
"GSM4706179",1.61119917779254,"GSE155559","NCBI-counts",6,6,"P401_Tami_1","cell type: Human primary leukopheresis sample | treatment: Tamibarotene",72364785,"Tamibarotene","Human primary leukopheresis sample",NA,FALSE,"Tamibarotene","high"
"GSM4706180",1.58312605051659,"GSE155559","NCBI-counts",6,6,"P401_Tami_2","cell type: Human primary leukopheresis sample | treatment: Tamibarotene",33086004,"Tamibarotene","Human primary leukopheresis sample",NA,FALSE,"Tamibarotene","high"
"GSM4706181",1.57062570399426,"GSE155559","NCBI-counts",6,6,"P401_Tami_3","cell type: Human primary leukopheresis sample | treatment: Tamibarotene",14690116,"Tamibarotene","Human primary leukopheresis sample",NA,FALSE,"Tamibarotene","high"
"GSM4706182",1.53986308818652,"GSE155559","NCBI-counts",6,6,"P401_Tami_4","cell type: Human primary leukopheresis sample | treatment: Tamibarotene",32749911,"Tamibarotene","Human primary leukopheresis sample",NA,FALSE,"Tamibarotene","high"
