"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM8062085",1.37966024430827,"GSE255002","NCBI-counts",6,6,"Donor.D2172_DARIC33_CD8_1nM rapamycin_Unstimulated_24h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D2172 | treatment: 1nM rapamycin | stimulation: Unstimulated | time: 24h",9392485,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062086",1.1321943613357,"GSE255002","NCBI-counts",6,6,"Donor.D932_Untransduced_CD8_1nM rapamycin_Unstimulated_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D932 | treatment: 1nM rapamycin | stimulation: Unstimulated | time: 24h",16348452,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062087",1.35081398325975,"GSE255002","NCBI-counts",6,6,"Donor.D2172_Untransduced_CD8_media alone_Unstimulated_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D2172 | treatment: media alone | stimulation: Unstimulated | time: 24h",14716801,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
"GSM8062088",1.19424453294528,"GSE255002","NCBI-counts",6,6,"Donor.D932_DARIC33_CD4_media alone_Unstimulated_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D932 | treatment: media alone | stimulation: Unstimulated | time: 24h",18222620,"media alone","CD4+ T cells",NA,FALSE,"media alone","high"
"GSM8062089",1.1378017942284,"GSE255002","NCBI-counts",6,6,"Donor.D732_Untransduced_CD4_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: Untransduced | donor: D732 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",7787738,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062090",1.25856216212563,"GSE255002","NCBI-counts",6,6,"Donor.D1173_DARIC33_CD4_media alone_Unstimulated_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D1173 | treatment: media alone | stimulation: Unstimulated | time: 24h",14625266,"media alone","CD4+ T cells",NA,FALSE,"media alone","high"
"GSM8062091",1.31189296259286,"GSE255002","NCBI-counts",6,6,"Donor.D1173_Untransduced_CD8_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D1173 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",18058086,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062092",0.691669988360305,"GSE255002","NCBI-counts",6,6,"Donor.D1173_DARIC33_CD4_1nM rapamycin_CD33+ MV4-11 AML target cells_168h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D1173 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 168h",5569954,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062093",1.04708150206073,"GSE255002","NCBI-counts",6,6,"Donor.D932_Untransduced_CD8_1nM rapamycin_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D932 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 24h",9055854,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062094",1.0173258567271,"GSE255002","NCBI-counts",6,6,"Donor.D2172_DARIC33_CD4_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D2172 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",14641495,"media alone","CD4+ T cells",NA,FALSE,"media alone","high"
"GSM8062095",1.03952436822338,"GSE255002","NCBI-counts",6,6,"Donor.D2172_DARIC33_CD8_media alone_Unstimulated_24h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D2172 | treatment: media alone | stimulation: Unstimulated | time: 24h",14714578,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
"GSM8062096",0.796613754672993,"GSE255002","NCBI-counts",6,6,"Donor.D1173_Untransduced_CD4_1nM rapamycin_Unstimulated_24h","cell type: CD4+ T cells | transgene: Untransduced | donor: D1173 | treatment: 1nM rapamycin | stimulation: Unstimulated | time: 24h",14589580,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062097",0.543069367087715,"GSE255002","NCBI-counts",6,6,"Donor.D932_DARIC33_CD8_1nM rapamycin_CD33+ MV4-11 AML target cells_168h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D932 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 168h",14868852,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062098",1.19547481520548,"GSE255002","NCBI-counts",6,6,"Donor.D2172_DARIC33_CD4_1nM rapamycin_Unstimulated_24h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D2172 | treatment: 1nM rapamycin | stimulation: Unstimulated | time: 24h",7947576,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062099",1.30764550884409,"GSE255002","NCBI-counts",6,6,"Donor.D732_DARIC33_CD8_1nM rapamycin_Unstimulated_24h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D732 | treatment: 1nM rapamycin | stimulation: Unstimulated | time: 24h",17156125,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062100",1.10567041051387,"GSE255002","NCBI-counts",6,6,"Donor.D932_Untransduced_CD8_media alone_CD33+ MV4-11 AML target cells_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D932 | treatment: media alone | stimulation: CD33+ MV4-11 AML target cells | time: 24h",8751120,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
"GSM8062101",1.18484776055905,"GSE255002","NCBI-counts",6,6,"Donor.D932_Untransduced_CD8_media alone_Unstimulated_24h","cell type: CD8+ T cells | transgene: Untransduced | donor: D932 | treatment: media alone | stimulation: Unstimulated | time: 24h",7998513,"media alone","CD8+ T cells",NA,FALSE,"media alone","high"
"GSM8062102",1.11090540352867,"GSE255002","NCBI-counts",6,6,"Donor.D2172_DARIC33_CD4_1nM rapamycin_CD33+ MV4-11 AML target cells_168h","cell type: CD4+ T cells | transgene: DARIC33 | donor: D2172 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 168h",15813629,"1nM rapamycin","CD4+ T cells",NA,FALSE,"rapamycin","high"
"GSM8062103",0.805395143186043,"GSE255002","NCBI-counts",6,6,"Donor.D1173_DARIC33_CD8_1nM rapamycin_CD33+ MV4-11 AML target cells_168h","cell type: CD8+ T cells | transgene: DARIC33 | donor: D1173 | treatment: 1nM rapamycin | stimulation: CD33+ MV4-11 AML target cells | time: 168h",6891783,"1nM rapamycin","CD8+ T cells",NA,FALSE,"rapamycin","high"
