"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM7732691",1.88433595493708,"GSE241649","NCBI-counts",6,6,"RNA-seq_D1091-4_ITD-18_FLT3i_IL3_Rep1","cell type: CD34+ primary AML cells | genotype: FLT3-ITD+ | treatment: FLT3i + IL3",31133925,"FLT3i + IL3","CD34+ primary AML cells","FLT3-ITD+",FALSE,"FLT3i + IL3","high"
"GSM7732692",1.83704593645231,"GSE241649","NCBI-counts",6,6,"RNA-seq_D1091-5_ITD-18_RASi_Rep1","cell type: CD34+ primary AML cells | genotype: FLT3-ITD+ | treatment: RASi",39118364,"RASi","CD34+ primary AML cells","FLT3-ITD+",FALSE,"RASi","high"
"GSM7732693",1.89895528624505,"GSE241649","NCBI-counts",6,6,"RNA-seq_D1091-6_ITD-18_RASi_IL3_Rep1","cell type: CD34+ primary AML cells | genotype: FLT3-ITD+ | treatment: RASi + IL3",42657535,"RASi + IL3","CD34+ primary AML cells","FLT3-ITD+",FALSE,"RASi + IL3","high"
"GSM7732694",1.80314583980561,"GSE241649","NCBI-counts",6,6,"RNA-seq_D1091-7_ITD-18_Untreated_Rep2","cell type: CD34+ primary AML cells | genotype: FLT3-ITD+ | treatment: Untreated",46675800,"Untreated","CD34+ primary AML cells","FLT3-ITD+",TRUE,"control","control"
"GSM7732695",1.90259336310309,"GSE241649","NCBI-counts",6,6,"RNA-seq_D1091-8_ITD-18_IL3_Rep2","cell type: CD34+ primary AML cells | genotype: FLT3-ITD+ | treatment: IL3",47352654,"IL3","CD34+ primary AML cells","FLT3-ITD+",FALSE,"IL3","high"
"GSM7732696",1.60150482567641,"GSE241649","NCBI-counts",6,6,"RNA-seq_D1091-9_ITD-18_FLT3i_Rep2","cell type: CD34+ primary AML cells | genotype: FLT3-ITD+ | treatment: FLT3i",24089712,"FLT3i","CD34+ primary AML cells","FLT3-ITD+",FALSE,"FLT3i","high"
"GSM7732699",1.30197682994897,"GSE241649","NCBI-counts",6,6,"RNA-seq_D929-1_MV411_Untreated_Rep1","cell line: M411 | genotype: FLT3-ITD+ | treatment: Untreated",17559364,"Untreated","M411","FLT3-ITD+",TRUE,"control","control"
"GSM7732700",1.18116660893801,"GSE241649","NCBI-counts",6,6,"RNA-seq_D929-2_MV411_Untreated_Rep2","cell line: M411 | genotype: FLT3-ITD+ | treatment: Untreated",16729951,"Untreated","M411","FLT3-ITD+",TRUE,"control","control"
"GSM7732701",1.07741966812917,"GSE241649","NCBI-counts",6,6,"RNA-seq_D929-3_MV411_FLT3i_Rep1","cell line: M411 | genotype: FLT3-ITD+ | treatment: FLT3i",16657444,"FLT3i","M411","FLT3-ITD+",FALSE,"FLT3i","high"
"GSM7732703",2.30140422210831,"GSE241649","NCBI-counts",6,6,"RNA-seq_ER232-1_ITD-16","cell type: CD34+ primary AML cells | genotype: FLT3-ITD+ | treatment: Untreated",24045989,"Untreated","CD34+ primary AML cells","FLT3-ITD+",TRUE,"control","control"
"GSM7732704",3.09127827484716,"GSE241649","NCBI-counts",6,6,"RNA-seq_ER232-2_ITD-16_FLT3i","cell type: CD34+ primary AML cells | genotype: FLT3-ITD+ | treatment: FLT3i",100957477,"FLT3i","CD34+ primary AML cells","FLT3-ITD+",FALSE,"FLT3i","high"
"GSM7732705",3.85567645913639,"GSE241649","NCBI-counts",6,6,"RNA-seq_SP230-1_ITD-15","cell type: CD34+ primary AML cells | genotype: FLT3-ITD+ | treatment: Untreated",21325866,"Untreated","CD34+ primary AML cells","FLT3-ITD+",TRUE,"control","control"
"GSM7732706",3.404271689305,"GSE241649","NCBI-counts",6,6,"RNA-seq_SP230-2_ITD-15_FLT3i","cell type: CD34+ primary AML cells | genotype: FLT3-ITD+ | treatment: FLT3i",10241313,"FLT3i","CD34+ primary AML cells","FLT3-ITD+",FALSE,"FLT3i","high"
