"GSE","Line","Agent","nT","nC","est","p","q"
"GSE125437","MOLM-14","BAY-1251152",3,9,-0.221668045229341,0.1343674260348,0.222117581812629
"GSE125437","KOPN-8","Brequinar",3,9,-0.2194054393801,0.0693540713747452,0.144043071316779
"GSE125437","ML2","EPZ-5676",3,6,-0.208646814739084,0.0599480432000306,0.131237608086553
"GSE125437","HL-60","OTX015",3,6,-0.203963324136091,0.101824975629438,0.183284956132988
"GSE182680","human T cell leukemia cells","dasatininb",3,12,-0.20242176240087,0.541562740714302,0.613518629340678
"GSE125437","OCI-AML5","BAY-1251152",3,9,-0.196315830568613,0.0123285381791775,0.0369856145375324
"GSE131325","NB4","No",3,15,-0.187566664988518,0.377184932353449,0.452872676143057
"GSE125437","EOL-1","BAY-155",3,6,-0.167604395406817,0.00607469140290173,0.0210252955255995
"GSE241427","KG-1","I-BRD9",2,2,-0.163415100554995,0.682823505455584,0.742398710629561
"GSE125437","MV4-11","BAY-1251152",2,6,-0.152497677061682,0.120968420896475,0.206282991423462
"GSE135030","JVM2","Ibru_5uM",3,3,-0.152057470939443,0.0960095212580342,0.177259645443487
"GSE260759","MOLM14","AZ2-",4,2,-0.150774912749365,0.0806589579193555,0.161317915838711
"GSE219230","ML-2","CM-444",2,2,-0.131070402134558,0.94292461636189,0.954711174066414
"GSE125437","OCI-AML3","BAY-1251152",3,6,-0.106364732605728,0.123525437628193,0.208449175997575
"GSE135030","EHEB","Idel_10uM",3,3,-0.0899961746688667,0.371374215543874,0.452872676143057
"GSE125437","KOPN-8","OTX015",3,9,-0.0875699961572614,0.431601795337925,0.499424934605313
"GSE125437","OCI-AML3","BAY-155",3,6,-0.0601358552302105,0.249980626613293,0.337473845927945
"GSE125437","SEM","OTX015",3,9,-0.044289118146364,0.574809186593841,0.646660334918071
"GSE125437","EOL-1","EPZ-5676",3,6,-0.037393277073508,0.809115503867967,0.845656204042649
"GSE244855","MOLM13-RES","Metformin",3,3,-0.0321172441610554,0.963406663620814,0.96939055594144
"GSE241649","CD34+ primary AML cells","FLT3i",4,4,-0.0240806523934756,0.981943446378011,0.981943446378011
"GSE125437","SEM","Brequinar",3,9,-0.0182884075474409,0.851658521577713,0.878781404430507
"GSE125437","OCI-AML5","Brequinar",3,9,0.0203475713902383,0.644990167447762,0.71567402141464
"GSE260759","OCI-AML2","ARM165-",2,2,0.0252894955650316,0.848253699982123,0.878781404430507
"GSE125437","KOPN-8","BAY-155",3,9,0.0300035658036636,0.779619938866521,0.820119675950496
"GSE125437","OCI-AML3","EPZ-5676",3,6,0.0416605963821584,0.43086392526213,0.499424934605313
"GSE125437","RS411","BAY-155",3,9,0.0418094605314689,0.580875157080273,0.648977761703478
"GSE135030","MEC1","Idel_10uM",3,3,0.0447732553302693,0.658842390673773,0.721165319521292
"GSE125437","OCI-AML2","Brequinar",3,9,0.0856494707754231,0.169971165562782,0.25261769560707
"GSE241649","MOLM14","IL3",2,2,0.0862840596134315,0.166757003312137,0.25261769560707
"GSE135030","JVM2","Idel_10uM",3,3,0.0979672388413186,0.46191601360251,0.530712015628415
"GSE125437","OCI-AML5","EPZ-5676",3,9,0.103038526146849,0.0141932431419012,0.0408047649954032
"GSE230590","T-ALL","ACBI-1",4,3,0.104006685396943,0.91510757547845,0.932373756147854
"GSE125437","SEM","BAY-155",3,9,0.105894501534377,0.316446730190917,0.406860081674036
"GSE125437","OCI-AML5","BAY-155",3,9,0.106058527523307,0.00410860905629741,0.0166080573321286
"GSE241427","U937","I-BRD9",2,2,0.1108636296812,0.7737220089147,0.819235068262623
"GSE125437","KOPN-8","EPZ-5676",3,9,0.11102750995496,0.32189168715538,0.410601994639147
"GSE125437","OCI-AML5","OTX015",3,9,0.120992320150778,0.00228183736436477,0.0108722839125616
"GSE217572","THP-1","AZA+Spautin-1",3,9,0.122739260410698,0.377393896785881,0.452872676143057
"GSE125437","ML2","BAY-155",3,6,0.135795523847268,0.0899618067139868,0.172682595191797
"GSE125437","RS411","Brequinar",3,9,0.140220737108547,0.0858053585878341,0.167475519171435
"GSE244855","MOLM13-RES","Gilteritinib+Metformin",3,3,0.143119895550346,0.16119363921439,0.251090091853184
"GSE148010","TF1 erythroleukemia cell line","pre-",4,14,0.176064741218127,0.701755948938759,0.75789642485386
"GSE119744","CLL cell line","JQ1",12,12,0.186465322818643,0.65860633409596,0.721165319521292
"GSE135030","MEC1","Ibru_5uM",3,3,0.199284484339087,0.0973833854596936,0.177259645443487
"GSE125437","EOL-1","OTX015",3,6,0.206105669643853,0.0184770638986781,0.0490702352718992
"GSE220170","AML1","ENTI-2",4,4,0.22971755164395,0.196214164015242,0.286366617751975
"GSE239859","HL-60","1 μg/ml Staphylococcus aureus lipoteichoic acids",6,6,0.231030942014022,0.729224233542551,0.777199512065087
"GSE125437","SEM","EPZ-5676",3,9,0.232693308583064,0.0143572321280122,0.0408047649954032
"GSE219230","ML-2","Panobinostat",2,2,0.233282552556643,0.862458567548554,0.884292961663708
"GSE267885","KG1a","TAK-981",2,2,0.33736529240997,0.416184839711225,0.488564811834917
"GSE125437","NOMO-1","OTX015",3,6,0.41268009963263,0.000720089062724007,0.00406949313516127
"GSE217572","SKM-1","AZA",3,3,0.430818360484225,0.00669070164253262,0.0225811180435476
"GSE125437","MV4-11","OTX015",3,6,0.470423291957526,4.17503162221495e-07,1.12725853799804e-05
"GSE220170","MOLM1","AR42-08",6,5,0.478389194194782,0.000234791727677553,0.00190181299418818
"GSE234800","Jurkat","aps",7,2,0.48086153085714,0.384579507158677,0.458102059997836
"GSE217572","THP-1","Spautin-1",3,9,0.520802797505283,0.02108214443192,0.054211228539223
"GSE125437","MOLM-14","OTX015",3,9,0.524357795716915,0.00364918190481558,0.0155570386468454
"GSE241427","ML-1","I-BRD9",2,2,0.530302234157932,0.714525502272982,0.76657702892863
"GSE260759","MOLM14","ARM165-",3,2,0.546655496526942,0.00208008267892692,0.0102113149692776
"GSE125437","OCI-AML2","OTX015",3,9,0.556894508986095,5.72406600691679e-08,2.3182467328013e-06
"GSE182680","human T cell leukemia cells","Dex",9,12,0.579146554372975,0.242881698485794,0.335703963717483
"GSE125437","MOLM-13","OTX015",3,6,0.594519310341796,5.11585162063044e-09,4.09226349542912e-07
"GSE225384","MV4-11","decitabine",6,3,0.605402907450534,0.275883000174339,0.369364016762338
"GSE125437","HL-60","EPZ-5676",3,6,0.641865560431434,0.00374529606987382,0.0155573836748605
"GSE148010","TF1 erythroleukemia cell line","5-Aza daily x",8,14,0.644630023432506,0.146850543212813,0.235542455450255
"GSE215385","NALM-6","Idelalisib",3,3,0.650820046547562,0.00306098069936456,0.0137744131471405
"GSE219230","HL-60","Panobinostat",3,3,0.654404018531013,0.132799156994817,0.221788282816086
"GSE220170","MOLM1","ENTI-4",4,5,0.714303520215989,0.144777929570595,0.235542455450255
"GSE125437","RS411","OTX015",3,9,0.720834608556588,1.67853837827805e-06,3.39904021601306e-05
"GSE234800","Jurkat","veh",8,2,0.758905936983979,0.16924428763231,0.25261769560707
"GSE135030","EHEB","Flud_50uM",3,3,0.848279281544205,0.0229270720706802,0.0580341511789093
"GSE219230","ML-2","Vorinostat",3,2,0.86399915117957,0.481193039226404,0.548966706723081
"GSE240439","HL-60","Decitabine+Simvastatin",3,3,0.88181963920153,0.249467554775307,0.337473845927945
"GSE230791","Acute Lymphoblastic Leukemia cell line SEM","pinometostat",8,8,0.906433529207544,0.0703649577025129,0.144292698073507
"GSE219230","HL-60","Vorinostat",3,3,0.907955530340386,0.00802843738257515,0.0260121371195435
"GSE115328","GSE115328","LEN",6,6,0.933777776448982,0.117296970170704,0.204323754490904
"GSE182680","human T cell leukemia cells","Dex and USP7i",6,12,0.946135275500888,0.0485163170867255,0.112280619543565
"GSE219230","HL-60","CM-444",2,3,1.00832551212069,0.23919326447456,0.335703963717483
"GSE125437","Jurkat","EPZ-5676",3,5,1.0108988154824,0.0634928348276788,0.137144523227786
"GSE231962","RPMI-8402","Doxycycline",3,3,1.01173761261573,0.313451424022153,0.406233045532711
"GSE182680","human T cell leukemia cells","USP7i",6,12,1.04308278635787,0.0161842985607141,0.0444382435056895
