"GSE","Line","Agent","nT","nC","est","p","genes","q"
"GSE29828","MOLM-13","EPZ004777",3,3,-2.27645465304435,0.000126348014789875,6,0.00300076535125954
"GSE122428","GSE122428","BAY1436032 +azacitidine",3,3,-2.18557055502869,0.00272761062066205,6,0.023556637178445
"GSE122428","GSE122428","BAY1436032",3,3,-2.13916859694451,0.000781388073555306,6,0.0148463733975508
"GSE158103","OCI-AML3 cells","HDM201",6,6,-1.93150581614592,2.3845294341764e-05,5,0.000755100987489194
"GSE158103","OCI-AML3 cells","RG7112",6,6,-1.88847122076093,2.82286044012939e-06,5,0.000268171741812292
"GSE89637","AML cell line","Pevonedistat",2,2,-1.82825715212842,0.00110276071920931,6,0.0168360985780097
"GSE83485","sorted human CD45+ cells from bone marrow of PDX mouse","BAY1436032",3,3,-1.81007532862807,0.00124055463206387,6,0.0168360985780097
"GSE42259","THP1","Dll4-Fc",3,3,-1.77892589701102,0.00266286616460251,6,0.023556637178445
"GSE144638","MLL rearranged","Pinometostat",8,8,-1.68844004021352,0.00317864847851045,5,0.0251643004548744
"GSE233849","Macrophage","MI-463",5,5,-1.5555729249427,0.00489530385695632,5,0.0310035910940567
"GSE294579","Macrophage","MI-463",5,5,-1.5555729249427,0.00489530385695632,5,0.0310035910940567
"GSE121291","AML cell line  THP-1","FLAVO",6,6,-1.41522805322544,0.00145507774600529,5,0.0169001786546716
"GSE226460","patient-derived xenograft (PDX) AML cells","gilteritinib",3,3,-1.26359187500951,0.178173683996165,5,0.376144443991904
"GSE226461","patient-derived xenograft (PDX) AML cells","gilteritinib",3,6,-1.08646766495316,0.0453062415335612,5,0.154497706928779
"GSE46819","46,XX[20]","BV6",2,4,-1.08427035351862,0.506344624766398,6,0.659291321908165
"GSE46819","46,XY[20]","BV6",2,3,-0.98542976607978,0.5818951339038,6,0.716880978776031
"GSE89637","AML cell line","T-3775440+Pevonedistat",2,2,-0.898880351552702,0.00376775349141495,6,0.0275335832064938
"GSE29828","MV4-11","EPZ004777",9,9,-0.85014206905469,1.59301571876896e-05,6,0.000755100987489194
"GSE29799","MLL-AF9/NrasG12D human cell line","JQ1",3,3,-0.833281978804711,0.409642655901909,6,0.605274763269432
"GSE62533","normal","BV6",2,2,-0.732399281540759,0.125974291440926,6,0.300181139380273
"GSE122428","GSE122428","azacitidine",3,3,-0.724875197134249,0.0378798952351239,6,0.138407309512953
"GSE87580","CMK11-5","T-3775440",3,3,-0.697334062020535,0.0118645123504857,6,0.0563564336648073
"GSE65012","K562","CA",3,3,-0.64953352700038,0.522728295643202,6,0.671070109271678
"GSE121291","AML cell line  THP-1","SY-1365",6,6,-0.62902931570506,0.133647669307796,5,0.309671428883917
"GSE121291","AML cell line  THP-1","NVP2",6,6,-0.566011081790777,0.436588710955135,5,0.619607788417494
"GSE155640","NfsB-positive THP1 cells","LSD1 OG86",6,9,-0.474002248767983,0.371433994573236,5,0.575414892439345
"GSE34672","TEX","all-trans-retinoic acid and tranylcypromine",3,3,-0.391702412334224,0.00660312384561408,5,0.0330156192280704
"GSE34726","TEX","all-trans-retinoic acid and tranylcypromine",3,3,-0.391702412334224,0.00660312384561408,5,0.0330156192280704
"GSE46302","KG-1","R406",3,3,-0.346630593177559,0.00160106955675837,6,0.0169001786546716
"GSE134742","GSE134742","GSK3510477",2,6,-0.300727802957529,0.588597014152952,6,0.716880978776031
"GSE123207","HNT-34","AZA",2,2,-0.276127526098458,0.0324495846264004,6,0.123308421580321
"GSE34672","TEX","tranycypromine",3,3,-0.269263107434961,0.37553392980252,5,0.575414892439345
"GSE34726","TEX","tranycypromine",3,3,-0.269263107434961,0.37553392980252,5,0.575414892439345
"GSE123207","AML-193","AZA",2,2,-0.255394705094697,0.0056640406684817,6,0.0330156192280704
"GSE97331","Sig-M5","SY-1425",3,2,-0.25388004399611,0.126392058686431,6,0.300181139380273
"GSE226459","patient-derived xenograft (PDX) AML cells","quizartinib",3,3,-0.232505090332225,0.810129792782716,5,0.880921559961898
"GSE155640","NfsB-positive THP1 cells","NTR LSD1",6,9,-0.227662664462099,0.732068944421844,5,0.848128655122868
"GSE134742","GSE134742","DAC",2,6,-0.22013580720715,0.690469008290656,6,0.809809330711263
"GSE34672","TEX","all-trans-retinoic acid",3,3,-0.197126514739125,0.322341236665708,5,0.537726930006239
"GSE34726","TEX","all-trans-retinoic acid",3,3,-0.197126514739125,0.322341236665708,5,0.537726930006239
"GSE97331","OCI-AML3","SY-1425",3,3,-0.196251291267295,0.0202779748438354,6,0.0802669837568485
"GSE97331","Kasumi-1","SY-1425",3,2,-0.174121715306408,0.301768506264385,6,0.537726930006239
"GSE54873","cd34+ normal progenitors","SAHA",2,2,-0.157319360318676,0.176950862367354,5,0.376144443991904
"GSE97331","KG-1a","SY-1425",3,2,-0.151647135750286,0.0892856613539374,6,0.229246968341191
"GSE34672","HL-60","all-trans-retinoic acid and tranylcypromine",3,3,-0.133865000698293,0.0200347060767648,5,0.0802669837568485
"GSE34726","HL-60","all-trans-retinoic acid and tranylcypromine",3,3,-0.133865000698293,0.0200347060767648,5,0.0802669837568485
"GSE55154","U937","SAHA",2,2,-0.132970166821536,0.835332709768845,5,0.891647274472362
"GSE149548","OCI-AML3","Denatonium-",3,3,-0.117288183960712,0.297102747624357,5,0.537726930006239
"GSE144638","MLL wild type","Pinometostat",6,6,-0.0916910498995405,0.742365084497763,5,0.849694976232379
"GSE55154","U937","MS27-275",2,2,-0.0661232537234421,0.909597084505401,5,0.931087460653855
"GSE54873","blasts of AML patient","SAHA",5,5,-0.064112911462737,0.911485619376932,5,0.931087460653855
"GSE46302","U937","R406",3,3,-0.0559627356595588,0.11154142475395,6,0.278853561884875
"GSE97331","MV-4-11","SY-1425",3,3,-0.0536005467970956,0.0701852999218913,6,0.191978728426086
"GSE46302","MOLM-14","R406",3,3,-0.0461429298003072,0.365062178626677,6,0.575414892439345
"GSE134742","GSE134742","GSK3484862",6,6,-0.0435014731791988,0.951870200255407,6,0.961996478981529
"GSE34672","HL-60","tranycypromine",3,3,-0.0371269331797276,0.315778265219843,5,0.537726930006239
"GSE34726","HL-60","tranycypromine",3,3,-0.0371269331797276,0.315778265219843,5,0.537726930006239
"GSE34672","HL-60","all-trans-retinoic acid",3,3,-0.029197073053326,0.567555930333978,5,0.709444912917472
"GSE34726","HL-60","all-trans-retinoic acid",3,3,-0.029197073053326,0.567555930333978,5,0.709444912917472
"GSE97331","NOMO-1","SY-1425",3,3,0.0129787315631547,0.816011550280495,6,0.880921559961898
"GSE121175","Kasumi-1","HHT",3,3,0.0213221662044171,0.98331863647293,6,0.98331863647293
"GSE97331","OCI-M1","SY-1425",3,3,0.0342104006241662,0.506613331571537,6,0.659291321908165
"GSE34672","HL-60","LSD1 shRNA #2",2,3,0.0383637053282004,0.475680663860918,5,0.638083468692371
"GSE34726","HL-60","LSD1 shRNA #2",2,3,0.0383637053282004,0.475680663860918,5,0.638083468692371
"GSE123207","KG1a","AZA",2,2,0.0592765062482138,0.0772946146662147,6,0.203971899813622
"GSE123207","HL60","AZA",2,2,0.07112810735347,0.414135364342243,6,0.605274763269432
"GSE121291","AML cell line  THP-1","JQ1",6,6,0.074888716286753,0.775851187535355,5,0.867127797833632
"GSE34672","HL-60","LSD1 shRNA #1",2,3,0.101671446842742,0.0707290052096106,5,0.191978728426086
"GSE34726","HL-60","LSD1 shRNA #1",2,3,0.101671446842742,0.0707290052096106,5,0.191978728426086
"GSE226461","MV4-11","QUIZ",3,3,0.106851904940988,0.308075562009749,5,0.537726930006239
"GSE34672","HL-60","scrambled control shRNA",2,3,0.108252856735862,0.0527098285212465,5,0.161530119661885
"GSE34726","HL-60","scrambled control shRNA",2,3,0.108252856735862,0.0527098285212465,5,0.161530119661885
"GSE55154","NB4","SAHA",2,2,0.109527421420635,0.85383706039001,5,0.901272452633899
"GSE149548","THP-1","Denatonium-",3,3,0.112156860550077,0.0515034852029027,5,0.161530119661885
"GSE226461","MOLM-14","QUIZ",3,3,0.114750130608966,0.476883434496404,5,0.638083468692371
"GSE46302","HL-60","R406",3,3,0.130564237963219,0.0455361662526929,6,0.154497706928779
"GSE149548","primary AML cells","Denatonium-",3,3,0.141163958972123,0.911461526594363,5,0.931087460653855
"GSE155640","THP1 wild-type cells","NTR LSD1",6,9,0.22269885290648,0.601435755651092,5,0.718482771319812
"GSE62533","13q-","BV6",2,2,0.280865086983234,0.36054710010792,6,0.575414892439345
"GSE54871","AML blasts","SAHA",3,3,0.306416836957935,0.7975345473892,5,0.880921559961898
"GSE55154","AML blasts","SAHA",3,3,0.354713072001901,0.752138672934898,5,0.850633022962087
"GSE155640","THP1 wild-type cells","LSD1 OG86",6,9,0.501086816333266,0.322636158003743,5,0.537726930006239
"GSE55154","K562","SAHA",2,2,0.534860701771097,0.436986545515496,5,0.619607788417494
"GSE226461","patient-derived xenograft (PDX) AML cells","quizartinib",3,6,0.637790504924303,0.311479805851573,5,0.537726930006239
"GSE89637","AML cell line","T-3775440",2,2,0.650140683932552,0.0063406651704401,6,0.0330156192280704
"GSE43258","GSE43258","ATRA",4,2,0.659548849813489,0.386307457576125,6,0.582527118567173
"GSE226418","MOLM-14","QUIZ",3,3,0.702617922499266,0.476883434496403,5,0.638083468692371
"GSE34965","sorted CD45+CD33+CD19-CD3- AML blasts","CWP",2,2,0.706149734574063,0.605038123216684,6,0.718482771319812
"GSE87580","HEL92.1.7","T-3775440",3,3,0.716048268870725,0.0621392958985883,6,0.184476034698934
"GSE55154","NB4","MS27-275",2,2,0.744102916954307,0.317069863716874,5,0.537726930006239
"GSE226420","MV4-11","QUIZ",3,3,0.939032618242417,0.308075562009749,5,0.537726930006239
"GSE65015","MOLM-14","CA",3,3,1.1581346627678,0.217939110750625,6,0.450091641767595
"GSE65019","MV-4-11","CA",3,3,1.2392504981212,0.165407589514845,6,0.36543537218396
"GSE55154","K562","MS27-275",2,2,1.26437461610548,0.149348630173044,5,0.337812377772361
"GSE65014","MOLM-14","CA",3,3,1.728542041836,0.019620397113931,6,0.0802669837568485
