"GSE","Line","Agent","est","null_p","src","q"
"GSE34672","HL-60","all-trans-retinoic acid",-0.0178146504598366,0.226886556721639,"array",0.446230730788452
"GSE34726","HL-60","all-trans-retinoic acid",-0.0178146504598366,0.239380309845077,"array",0.460625747732195
"GSE125437","KOPN-8","Brequinar",-0.0177871817987339,0.205397301349325,"counts",0.431164582997757
"GSE182680","human T cell leukemia cells","Dex",-0.0169049078763538,0.0924537731134433,"counts",0.289916770010057
"GSE125437","MOLM-14","BAY-1251152",-0.0165985047669415,0.213393303348326,"counts",0.437112089116732
"GSE158103","OCI-AML3 cells","RG7112",-0.0164702805808516,0.124437781109445,"array",0.343556482628251
"GSE97331","KG-1a","SY-1425",-0.0160489562790551,0.0249875062468766,"array",0.141040590815703
"GSE135030","MEC1","Idel_10uM",-0.016019379560464,0.287856071964018,"counts",0.508609640757852
"GSE245284","RS4;11","VEN",-0.0157788053819356,0.105447276361819,"counts",0.311437304603512
"GSE125437","NOMO-1","OTX015",-0.0156343808873155,0.286356821589205,"counts",0.508609640757852
"GSE226460","patient-derived xenograft (PDX) AML cells","gilteritinib",-0.015251456231028,0.343328335832084,"array",0.569969917002283
"GSE131325","NB4","ATRA",-0.0146741779637252,0.203898050974513,"counts",0.431164582997757
"GSE46302","KG-1","R406",-0.0144619292431083,0.31384307846077,"array",0.535007663953258
"GSE125437","OCI-AML2","Brequinar",-0.01431697886887,0.15392303848076,"counts",0.38709358192191
"GSE115328","GSE115328","LEN",-0.014243892248364,0.140929535232384,"counts",0.365266346418627
"GSE97331","Sig-M5","SY-1425",-0.0142237239364989,0.244377811094453,"array",0.46322361207456
"GSE125437","OCI-AML2","BAY-1251152",-0.0138761065722124,0.302848575712144,"counts",0.519753636695166
"GSE125437","RS411","OTX015",-0.0137555763836741,0.378310844577711,"counts",0.598415078175198
"GSE125437","NOMO-1","Brequinar",-0.0137525572475265,0.294352823588206,"counts",0.508609640757852
"GSE144638","GSE144638","Pinometostat",-0.0136510671214092,0.0589705147426287,"array",0.258250185252202
"GSE225356","MOLM-13","MI-503",-0.0134982440390489,0.290354822588706,"counts",0.508609640757852
"GSE123207","HNT-34","AZA",-0.0131234330826266,0.185907046476762,"array",0.405551461557357
"GSE233849","Macrophage","MI-463",-0.0130476249077036,0.168415792103948,"array",0.399790758826194
"GSE294579","Macrophage","MI-463",-0.0130476249077036,0.163418290854573,"array",0.399790758826194
"GSE125437","ML2","BAY-1251152",-0.0129518588154698,0.293853073463268,"counts",0.508609640757852
"GSE217572","MOLM-13","AZA",-0.0128972791074524,0.27936031984008,"counts",0.503244831484967
"GSE230646","Kasumi-1","RB98#",-0.0121713925165574,0.465767116441779,"counts",0.683843049573479
"GSE149548","OCI-AML3","Denatonium-",-0.0119800639921241,0.109445277361319,"array",0.3195298902273
"GSE125437","NOMO-1","BAY-155",-0.0118594412543546,0.274862568715642,"counts",0.498679231812665
"GSE115328","GSE115328","CC122",-0.0116801163300604,0.199900049975012,"counts",0.426677417593724
"GSE97331","Kasumi-1","SY-1425",-0.0115679235405029,0.127936031984008,"array",0.345699490680192
"GSE97331","MV-4-11","SY-1425",-0.0115452895769614,0.160419790104948,"array",0.399476732222124
"GSE158103","OCI-AML3 cells","HDM201",-0.0112088768561818,0.316341829085457,"array",0.535672163918041
