"GSM","SampleTitle","Score","GSE","Platform","GenesFound","GenesExpected","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied"
"GSM4709306","wild-type cells 100 nM LSD1 inhibitor treated - rep2",4.11731927166051,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE
"GSM4709307","wild-type cells 50 nM NTR prodrug treated - rep2",4.11749194797769,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709308","wild-type cells 100 nM NTR prodrug treated - rep2",4.14244692584223,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709309","wild-type cells 100 nM negativ control of LSD1 inhibitor treated - rep2",4.18473138502735,"GSE155640","GPL23159",5,6,"a negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE
"GSM4709310","wild-type cells 100 nM negativ control of NTR prodrug treated - rep2",4.1453267938599,"GSE155640","GPL23159",5,6,"a NTR prodrug of negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE
"GSM4709311","wild-type cells vehicle treated - rep2",4.1405935305456,"GSE155640","GPL23159",5,6,"vehicle DMSO","THP1 wild-type cells",NA,TRUE,"control","control",TRUE
"GSM4709312","NTR-expressing cells 50 nM LSD1 inhibitor treated - rep2",4.18466530738028,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE
"GSM4709313","NTR-expressing cells 100 nM LSD1 inhibitor treated - rep2",4.15909044382041,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE
"GSM4709314","NTR-expressing cells 50 nM NTR prodrug treated - rep2",4.21972656514601,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","NfsB-positive THP1 cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709315","NTR-expressing cells 100 nM NTR prodrug treated - rep2",4.11592446843911,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","NfsB-positive THP1 cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709316","NTR-expressing cells 100 nM negativ control of LSD1 inhibitor treated - rep2",4.2090155443529,"GSE155640","GPL23159",5,6,"a negative control (structurally related to OG86, but inactive on LSD1)","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE
"GSM4709317","NTR-expressing cells 100 nM negativ control of NTR prodrug treated - rep2",4.21472027240098,"GSE155640","GPL23159",5,6,"a NTR prodrug of negative control (structurally related to OG86, but inactive on LSD1)","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE
"GSM4709318","NTR-expressing cells vehicle treated - rep2",4.17952907597639,"GSE155640","GPL23159",5,6,"vehicle DMSO","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE
"GSM4709319","wild-type cells 50 nM LSD1 inhibitor treated - rep3",4.12364229022742,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE
"GSM4709320","wild-type cells 100 nM LSD1 inhibitor treated - rep3",4.18095177557308,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","THP1 wild-type cells",NA,FALSE,"LSD1 OG86","high",TRUE
"GSM4709321","wild-type cells 50 nM NTR prodrug treated - rep3",4.12127213726031,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709322","wild-type cells 100 nM NTR prodrug treated - rep3",4.1296203202954,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","THP1 wild-type cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709323","wild-type cells 100 nM negativ control of LSD1 inhibitor treated - rep3",4.08718895183992,"GSE155640","GPL23159",5,6,"a negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE
"GSM4709324","wild-type cells 100 nM negativ control of NTR prodrug treated - rep3",4.15698324325716,"GSE155640","GPL23159",5,6,"a NTR prodrug of negative control (structurally related to OG86, but inactive on LSD1)","THP1 wild-type cells",NA,TRUE,"control","control",TRUE
"GSM4709325","wild-type cells vehicle treated - rep3",4.09221663582399,"GSE155640","GPL23159",5,6,"vehicle DMSO","THP1 wild-type cells",NA,TRUE,"control","control",TRUE
"GSM4709326","NTR-expressing cells 50 nM LSD1 inhibitor treated - rep3",4.11909166981646,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE
"GSM4709327","NTR-expressing cells 100 nM LSD1 inhibitor treated - rep3",4.11463498865065,"GSE155640","GPL23159",5,6,"LSD1 inhibitor OG86","NfsB-positive THP1 cells",NA,FALSE,"LSD1 OG86","high",TRUE
"GSM4709328","NTR-expressing cells 50 nM NTR prodrug treated - rep3",4.14072641349554,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","NfsB-positive THP1 cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709329","NTR-expressing cells 100 nM NTR prodrug treated - rep3",4.1153346714628,"GSE155640","GPL23159",5,6,"NTR prodrug of LSD1 inhibitor","NfsB-positive THP1 cells",NA,FALSE,"NTR LSD1","high",TRUE
"GSM4709330","NTR-expressing cells 100 nM negativ control of LSD1 inhibitor treated - rep3",4.18089984627885,"GSE155640","GPL23159",5,6,"a negative control (structurally related to OG86, but inactive on LSD1)","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE
"GSM4709331","NTR-expressing cells 100 nM negativ control of NTR prodrug treated - rep3",4.19511627917173,"GSE155640","GPL23159",5,6,"a NTR prodrug of negative control (structurally related to OG86, but inactive on LSD1)","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE
"GSM4709332","NTR-expressing cells vehicle treated - rep3",4.12573071178989,"GSE155640","GPL23159",5,6,"vehicle DMSO","NfsB-positive THP1 cells",NA,TRUE,"control","control",TRUE
"GSM4792226","DMSO_1",3.0346819446352,"GSE158103","GPL23159",5,6,"DMSO","OCI-AML3 cells","wildtype",TRUE,"control","control",FALSE
"GSM4792227","DMSO_2",3.004163690497,"GSE158103","GPL23159",5,6,"DMSO","OCI-AML3 cells","wildtype",TRUE,"control","control",FALSE
"GSM4792228","DMSO_3",2.9712860812688,"GSE158103","GPL23159",5,6,"DMSO","OCI-AML3 cells","wildtype",TRUE,"control","control",FALSE
"GSM4792229","DMSO_4",3.0208984620855,"GSE158103","GPL23159",5,6,"DMSO","OCI-AML3 cells","wildtype",TRUE,"control","control",FALSE
"GSM4792230","DMSO_5",3.019662992691,"GSE158103","GPL23159",5,6,"DMSO","OCI-AML3 cells","wildtype",TRUE,"control","control",FALSE
"GSM4792231","DMSO_6",3.1058713344483,"GSE158103","GPL23159",5,6,"DMSO","OCI-AML3 cells","wildtype",TRUE,"control","control",FALSE
"GSM4792232","RG7112_1",2.757713596185,"GSE158103","GPL23159",5,6,"RG7112","OCI-AML3 cells","wildtype",FALSE,"RG7112","high",FALSE
"GSM4792233","RG7112_2",2.8052782825981,"GSE158103","GPL23159",5,6,"RG7112","OCI-AML3 cells","wildtype",FALSE,"RG7112","high",FALSE
"GSM4792234","RG7112_3",2.7224054991066,"GSE158103","GPL23159",5,6,"RG7112","OCI-AML3 cells","wildtype",FALSE,"RG7112","high",FALSE
"GSM4792235","RG7112_4",2.7732919240963,"GSE158103","GPL23159",5,6,"RG7112","OCI-AML3 cells","wildtype",FALSE,"RG7112","high",FALSE
"GSM4792236","RG7112_5",2.8374637668873,"GSE158103","GPL23159",5,6,"RG7112","OCI-AML3 cells","wildtype",FALSE,"RG7112","high",FALSE
"GSM4792237","RG7112_6",2.8242227391778,"GSE158103","GPL23159",5,6,"RG7112","OCI-AML3 cells","wildtype",FALSE,"RG7112","high",FALSE
"GSM4792238","HDM201_1",2.7233756985639,"GSE158103","GPL23159",5,6,"HDM201","OCI-AML3 cells","wildtype",FALSE,"HDM201","high",FALSE
"GSM4792239","HDM201_2",2.7289052811554,"GSE158103","GPL23159",5,6,"HDM201","OCI-AML3 cells","wildtype",FALSE,"HDM201","high",FALSE
"GSM4792240","HDM201_3",2.783799315799,"GSE158103","GPL23159",5,6,"HDM201","OCI-AML3 cells","wildtype",FALSE,"HDM201","high",FALSE
"GSM4792241","HDM201_4",2.7828165537849,"GSE158103","GPL23159",5,6,"HDM201","OCI-AML3 cells","wildtype",FALSE,"HDM201","high",FALSE
"GSM4792242","HDM201_5",2.8951009010917,"GSE158103","GPL23159",5,6,"HDM201","OCI-AML3 cells","wildtype",FALSE,"HDM201","high",FALSE
"GSM4792243","HDM201_6",2.7736501035221,"GSE158103","GPL23159",5,6,"HDM201","OCI-AML3 cells","wildtype",FALSE,"HDM201","high",FALSE
"GSM7074717","MOLM14_vehicle_n2_13",3.727592,"GSE226418","GPL23159",5,6,"vehicle","MOLM-14",NA,TRUE,"control","control",FALSE
"GSM7074718","MOLM14_vehicle_n3_14",3.738661,"GSE226418","GPL23159",5,6,"vehicle","MOLM-14",NA,TRUE,"control","control",FALSE
"GSM7074719","MOLM14_vehicle_n5_15",3.419037,"GSE226418","GPL23159",5,6,"vehicle","MOLM-14",NA,TRUE,"control","control",FALSE
"GSM7074720","MOLM14_QUIZ_n2_16",3.772686,"GSE226418","GPL23159",5,6,"QUIZ","MOLM-14",NA,FALSE,"QUIZ","high",FALSE
"GSM7074721","MOLM14_QUIZ_n3_17",3.650027,"GSE226418","GPL23159",5,6,"QUIZ","MOLM-14",NA,FALSE,"QUIZ","high",FALSE
"GSM7074722","MOLM14_QUIZ_n5_18",3.740233,"GSE226418","GPL23159",5,6,"QUIZ","MOLM-14",NA,FALSE,"QUIZ","high",FALSE
"GSM7074729","MV411_vehicle_n2_7",2.799145,"GSE226420","GPL23159",5,6,"vehicle","MV4-11",NA,TRUE,"control","control",FALSE
"GSM7074730","MV411_vehicle_n3_8",2.903279,"GSE226420","GPL23159",5,6,"vehicle","MV4-11",NA,TRUE,"control","control",FALSE
"GSM7074731","MV411_vehicle_n5_9",2.921515,"GSE226420","GPL23159",5,6,"vehicle","MV4-11",NA,TRUE,"control","control",FALSE
"GSM7074732","MV411_QUIZ_n2_10",3.031677,"GSE226420","GPL23159",5,6,"QUIZ","MV4-11",NA,FALSE,"QUIZ","high",FALSE
"GSM7074733","MV411_QUIZ_n3_11",2.83959,"GSE226420","GPL23159",5,6,"QUIZ","MV4-11",NA,FALSE,"QUIZ","high",FALSE
"GSM7074734","MV411_QUIZ_n5_12",3.011217,"GSE226420","GPL23159",5,6,"QUIZ","MV4-11",NA,FALSE,"QUIZ","high",FALSE
"GSM7075887","PDXTUH06_vehicle_1",4.453287,"GSE226459","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075888","PDXTUH84_vehicle_3",5.69795,"GSE226459","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075889","PDXTUH93_vehicle_5",4.963558,"GSE226459","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075890","PDXTUH06_QUIZ_2",4.425729,"GSE226459","GPL23159",5,6,"quizartinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"quizartinib","high",FALSE
"GSM7075891","PDXTUH84_QUIZ_4",5.534134,"GSE226459","GPL23159",5,6,"quizartinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"quizartinib","high",FALSE
"GSM7075892","PDXTUH93_QUIZ_6",4.779637,"GSE226459","GPL23159",5,6,"quizartinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"quizartinib","high",FALSE
"GSM7075893","PDXTUH73_vivo_vehicle_1",3.809206,"GSE226460","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075894","PDXTUH86_vivo_vehicle_3",3.697322,"GSE226460","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075895","PDXTUH110_vivo_vehicle_5",3.771208,"GSE226460","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075896","PDXTUH73_vivo_GILT_2",3.328056,"GSE226460","GPL23159",5,6,"gilteritinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"gilteritinib","high",FALSE
"GSM7075897","PDXTUH86_vivo_GILT_4",3.500691,"GSE226460","GPL23159",5,6,"gilteritinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"gilteritinib","high",FALSE
"GSM7075898","PDXTUH110_vivo_GILT_6",3.738639,"GSE226460","GPL23159",5,6,"gilteritinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"gilteritinib","high",FALSE
"GSM7074676","empty_n1_1",3.936854,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074677","empty_n2_2",3.888404,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074678","empty_n3_3",3.872642,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074679","QUIZ_empty_n1_7",4.057927,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074680","QUIZ_empty_n2_8",3.900588,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074681","QUIZ_empty_n3_9",4.068257,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074682","CEBPAOE_n1_4",3.848486,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074683","CEBPAOE_n2_5",3.759533,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074684","CEBPAOE_n3_6",3.894836,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074685","QUIZ__CEBPAOE_n1_10",3.889181,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074686","QUIZ__CEBPAOE_n2_11",3.915015,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074687","QUIZ__CEBPAOE_n3_12",3.850652,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074700","MOLM14_shCTL_n2_19",3.761138,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074701","MOLM14_shCTL_n3_20",3.8184,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074702","MOLM14_shCTL_n5_21",3.797383,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074703","MOLM14_shFLT3_n2_22",3.665221,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074704","MOLM14_shFLT3_n3_23",3.695773,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074705","MOLM14_shFLT3_n5_24",3.665121,"GSE226461","GPL23159",5,6,NA,"MOLM-14",NA,FALSE,NA,"none",FALSE
"GSM7074717","MOLM14_vehicle_n2_13",3.727592,"GSE226461","GPL23159",5,6,"vehicle","MOLM-14",NA,TRUE,"control","control",FALSE
"GSM7074718","MOLM14_vehicle_n3_14",3.738661,"GSE226461","GPL23159",5,6,"vehicle","MOLM-14",NA,TRUE,"control","control",FALSE
"GSM7074719","MOLM14_vehicle_n5_15",3.419037,"GSE226461","GPL23159",5,6,"vehicle","MOLM-14",NA,TRUE,"control","control",FALSE
"GSM7074720","MOLM14_QUIZ_n2_16",3.772686,"GSE226461","GPL23159",5,6,"QUIZ","MOLM-14",NA,FALSE,"QUIZ","high",FALSE
"GSM7074721","MOLM14_QUIZ_n3_17",3.650027,"GSE226461","GPL23159",5,6,"QUIZ","MOLM-14",NA,FALSE,"QUIZ","high",FALSE
"GSM7074722","MOLM14_QUIZ_n5_18",3.740233,"GSE226461","GPL23159",5,6,"QUIZ","MOLM-14",NA,FALSE,"QUIZ","high",FALSE
"GSM7074723","MV411_shCTL_n1_1",2.81993,"GSE226461","GPL23159",5,6,NA,"MV4-11",NA,FALSE,NA,"none",FALSE
"GSM7074724","MV411_shCTL_n3_2",3.017605,"GSE226461","GPL23159",5,6,NA,"MV4-11",NA,FALSE,NA,"none",FALSE
"GSM7074725","MV411_shCTL_n4_3",2.916874,"GSE226461","GPL23159",5,6,NA,"MV4-11",NA,FALSE,NA,"none",FALSE
"GSM7074726","MV411_shFLT3_n1_4",2.864009,"GSE226461","GPL23159",5,6,NA,"MV4-11",NA,FALSE,NA,"none",FALSE
"GSM7074727","MV411_shFLT3_n3_5",2.818181,"GSE226461","GPL23159",5,6,NA,"MV4-11",NA,FALSE,NA,"none",FALSE
"GSM7074728","MV411_shFLT3_n4_6",2.791479,"GSE226461","GPL23159",5,6,NA,"MV4-11",NA,FALSE,NA,"none",FALSE
"GSM7074729","MV411_vehicle_n2_7",2.799145,"GSE226461","GPL23159",5,6,"vehicle","MV4-11",NA,TRUE,"control","control",FALSE
"GSM7074730","MV411_vehicle_n3_8",2.903279,"GSE226461","GPL23159",5,6,"vehicle","MV4-11",NA,TRUE,"control","control",FALSE
"GSM7074731","MV411_vehicle_n5_9",2.921515,"GSE226461","GPL23159",5,6,"vehicle","MV4-11",NA,TRUE,"control","control",FALSE
"GSM7074732","MV411_QUIZ_n2_10",3.031677,"GSE226461","GPL23159",5,6,"QUIZ","MV4-11",NA,FALSE,"QUIZ","high",FALSE
"GSM7074733","MV411_QUIZ_n3_11",2.83959,"GSE226461","GPL23159",5,6,"QUIZ","MV4-11",NA,FALSE,"QUIZ","high",FALSE
"GSM7074734","MV411_QUIZ_n5_12",3.011217,"GSE226461","GPL23159",5,6,"QUIZ","MV4-11",NA,FALSE,"QUIZ","high",FALSE
"GSM7074739","MOLM14_siCTL_n1_13",3.932991,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7074740","MOLM14_siCTL_n2_15",3.743657,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7074741","MOLM14_siCTL_n3_17",3.973493,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7074742","MOLM14_siCEBPA_2_n1_14",4.037796,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7074743","MOLM14_siCEBPA_2_n2_16",3.907964,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7074744","MOLM14_siCEBPA_2_n3_18",3.951262,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7074745","MOLM14_shCTLconsti_n1_7",3.987426,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7074746","MOLM14_shCTLconsti_n2_9",4.071702,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7074747","MOLM14_shCTLconsti_n3_11",4.103531,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7074748","MOLM14_shCEBPA#1_n1_8",3.8766,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7074749","MOLM14_shCEBPA#1_n2_10",4.038877,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7074750","MOLM14_shCEBPA#1_n3_12",4.041322,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7075869","MOLM14_shCTL_+DOX_n1_1",4.069408,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7075870","MOLM14_shCTL_+DOX_n2_3",4.097623,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7075871","MOLM14_shCTL_+DOX_n3_5",4.142602,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7075872","MOLM14_shCEBPA1_+DOX_n1_2",4.080817,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7075873","MOLM14_shCEBPA1_+DOX_n2_4",4.078883,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7075874","MOLM14_shCEBPA1_+DOX_n3_6",4.046928,"GSE226461","GPL23159",5,6,NA,"MOLM14",NA,FALSE,NA,"none",FALSE
"GSM7075887","PDXTUH06_vehicle_1",4.453287,"GSE226461","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075888","PDXTUH84_vehicle_3",5.69795,"GSE226461","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075889","PDXTUH93_vehicle_5",4.963558,"GSE226461","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075890","PDXTUH06_QUIZ_2",4.425729,"GSE226461","GPL23159",5,6,"quizartinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"quizartinib","high",FALSE
"GSM7075891","PDXTUH84_QUIZ_4",5.534134,"GSE226461","GPL23159",5,6,"quizartinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"quizartinib","high",FALSE
"GSM7075892","PDXTUH93_QUIZ_6",4.779637,"GSE226461","GPL23159",5,6,"quizartinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"quizartinib","high",FALSE
"GSM7075893","PDXTUH73_vivo_vehicle_1",3.809206,"GSE226461","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075894","PDXTUH86_vivo_vehicle_3",3.697322,"GSE226461","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075895","PDXTUH110_vivo_vehicle_5",3.771208,"GSE226461","GPL23159",5,6,"vehicle","patient-derived xenograft (PDX) AML cells",NA,TRUE,"control","control",FALSE
"GSM7075896","PDXTUH73_vivo_GILT_2",3.328056,"GSE226461","GPL23159",5,6,"gilteritinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"gilteritinib","high",FALSE
"GSM7075897","PDXTUH86_vivo_GILT_4",3.500691,"GSE226461","GPL23159",5,6,"gilteritinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"gilteritinib","high",FALSE
"GSM7075898","PDXTUH110_vivo_GILT_6",3.738639,"GSE226461","GPL23159",5,6,"gilteritinib","patient-derived xenograft (PDX) AML cells",NA,FALSE,"gilteritinib","high",FALSE
"GSM7437956","Vehicle replicate 5",3.2973226984808,"GSE233849","GPL23159",5,6,"vehicle","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",TRUE,"control","control",FALSE
"GSM7437957","Vehicle replicate 4",3.2695229472954,"GSE233849","GPL23159",5,6,"vehicle","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",TRUE,"control","control",FALSE
"GSM7437958","Vehicle replicate 3",3.3142291008885,"GSE233849","GPL23159",5,6,"vehicle","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",TRUE,"control","control",FALSE
"GSM7437959","Vehicle replicate 2",3.267096254047,"GSE233849","GPL23159",5,6,"vehicle","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",TRUE,"control","control",FALSE
"GSM7437960","Vehicle replicate 1",3.2228450718099,"GSE233849","GPL23159",5,6,"vehicle","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",TRUE,"control","control",FALSE
"GSM7437961","MI replicate 5",3.134465648422,"GSE233849","GPL23159",5,6,"MI-463","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",FALSE,"MI-463","high",FALSE
"GSM7437962","MI replicate 4",3.1506915630074,"GSE233849","GPL23159",5,6,"MI-463","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",FALSE,"MI-463","high",FALSE
"GSM7437963","MI replicate 3",3.126987073179,"GSE233849","GPL23159",5,6,"MI-463","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",FALSE,"MI-463","high",FALSE
"GSM7437964","MI replicate 2",3.2526101967776,"GSE233849","GPL23159",5,6,"MI-463","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",FALSE,"MI-463","high",FALSE
"GSM7437965","MI replicate 1",3.1393477909285,"GSE233849","GPL23159",5,6,"MI-463","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",FALSE,"MI-463","high",FALSE
"GSM7437956","Vehicle replicate 5",3.2973226984808,"GSE294579","GPL23159",5,6,"vehicle","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",TRUE,"control","control",FALSE
"GSM7437957","Vehicle replicate 4",3.2695229472954,"GSE294579","GPL23159",5,6,"vehicle","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",TRUE,"control","control",FALSE
"GSM7437958","Vehicle replicate 3",3.3142291008885,"GSE294579","GPL23159",5,6,"vehicle","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",TRUE,"control","control",FALSE
"GSM7437959","Vehicle replicate 2",3.267096254047,"GSE294579","GPL23159",5,6,"vehicle","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",TRUE,"control","control",FALSE
"GSM7437960","Vehicle replicate 1",3.2228450718099,"GSE294579","GPL23159",5,6,"vehicle","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",TRUE,"control","control",FALSE
"GSM7437961","MI replicate 5",3.134465648422,"GSE294579","GPL23159",5,6,"MI-463","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",FALSE,"MI-463","high",FALSE
"GSM7437962","MI replicate 4",3.1506915630074,"GSE294579","GPL23159",5,6,"MI-463","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",FALSE,"MI-463","high",FALSE
"GSM7437963","MI replicate 3",3.126987073179,"GSE294579","GPL23159",5,6,"MI-463","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",FALSE,"MI-463","high",FALSE
"GSM7437964","MI replicate 2",3.2526101967776,"GSE294579","GPL23159",5,6,"MI-463","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",FALSE,"MI-463","high",FALSE
"GSM7437965","MI replicate 1",3.1393477909285,"GSE294579","GPL23159",5,6,"MI-463","Macrophage","Gene fusion: MLL-AFF1; Mutation: FLT3",FALSE,"MI-463","high",FALSE
"GSM738415","THP-1 DMSO 48h sample1",2.9662681676367,"GSE29799","GPL6244",6,6,"DMSO for 48h","MLL-AF9/NrasG12D human cell line",NA,TRUE,"control","control",FALSE
