"GSM","SampleTitle","Score","GSE","Platform","GenesFound","GenesExpected","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied"
"GSM3466431","Vehicle rep 1",0.19945223,"GSE122428","GPL570",6,6,"vehicle",NA,NA,TRUE,"control","control",FALSE
"GSM3466432","Vehicle rep 2",0.31291594,"GSE122428","GPL570",6,6,"vehicle",NA,NA,TRUE,"control","control",FALSE
"GSM3466433","Vehicle rep 3",0.30996491,"GSE122428","GPL570",6,6,"vehicle",NA,NA,TRUE,"control","control",FALSE
"GSM3466434","BAY1436032 rep 1",-0.19038611,"GSE122428","GPL570",6,6,"BAY1436032 (150 mg/kg, p.o., q.d., 4 weeks)",NA,NA,FALSE,"BAY1436032","high",FALSE
"GSM3466435","BAY1436032 rep 2",-0.24533214,"GSE122428","GPL570",6,6,"BAY1436032 (150 mg/kg, p.o., q.d., 4 weeks)",NA,NA,FALSE,"BAY1436032","high",FALSE
"GSM3466436","BAY1436032 rep 3",-0.13542082,"GSE122428","GPL570",6,6,"BAY1436032 (150 mg/kg, p.o., q.d., 4 weeks)",NA,NA,FALSE,"BAY1436032","high",FALSE
"GSM3466437","Azacitidine rep 1",0.08425419,"GSE122428","GPL570",6,6,"azacitidine (1 mg/kg, s.c., days 1 to 5)",NA,NA,FALSE,"azacitidine","high",FALSE
"GSM3466438","Azacitidine rep 2",0.07838848,"GSE122428","GPL570",6,6,"azacitidine (1 mg/kg, s.c., days 1 to 5)",NA,NA,FALSE,"azacitidine","high",FALSE
"GSM3466439","Azacitidine rep 3",0.1875007,"GSE122428","GPL570",6,6,"azacitidine (1 mg/kg, s.c., days 1 to 5)",NA,NA,FALSE,"azacitidine","high",FALSE
"GSM3466440","BAY1436032+Azacitidine rep 1",-0.20409121,"GSE122428","GPL570",6,6,"BAY1436032 (150 mg/kg, p.o., q.d., 4 weeks)+azacitidine (1 mg/kg, s.c., days 1 to 5)",NA,NA,FALSE,"BAY1436032 +azacitidine","high",FALSE
"GSM3466441","BAY1436032+Azacitidine rep 2",-0.22222547,"GSE122428","GPL570",6,6,"BAY1436032 (150 mg/kg, p.o., q.d., 4 weeks)+azacitidine (1 mg/kg, s.c., days 1 to 5)",NA,NA,FALSE,"BAY1436032 +azacitidine","high",FALSE
"GSM3466442","BAY1436032+Azacitidine rep 3",-0.17504901,"GSE122428","GPL570",6,6,"BAY1436032 (150 mg/kg, p.o., q.d., 4 weeks)+azacitidine (1 mg/kg, s.c., days 1 to 5)",NA,NA,FALSE,"BAY1436032 +azacitidine","high",FALSE
"GSM3498361","AZA001",4.8320851041239,"GSE123207","GPL570",6,6,"vehicle","AML-193",NA,TRUE,"control","control",FALSE
"GSM3498362","AZA002",4.8016187690518,"GSE123207","GPL570",6,6,"vehicle","AML-193",NA,TRUE,"control","control",FALSE
"GSM3498363","AZA003",4.4911433412535,"GSE123207","GPL570",6,6,"0.5uM AZA","AML-193",NA,FALSE,"AZA","high",FALSE
"GSM3498364","AZA004",4.5250950713501,"GSE123207","GPL570",6,6,"0.5uM AZA","AML-193",NA,FALSE,"AZA","high",FALSE
"GSM3498365","AZA005",7.237920442679,"GSE123207","GPL570",6,6,"vehicle","HNT-34",NA,TRUE,"control","control",FALSE
"GSM3498366","AZA006",7.279015620487,"GSE123207","GPL570",6,6,"vehicle","HNT-34",NA,TRUE,"control","control",FALSE
"GSM3498367","AZA007",6.928818257038,"GSE123207","GPL570",6,6,"0.5uM AZA","HNT-34",NA,FALSE,"AZA","high",FALSE
"GSM3498368","AZA008",6.920526792384,"GSE123207","GPL570",6,6,"0.5uM AZA","HNT-34",NA,FALSE,"AZA","high",FALSE
"GSM3498369","AZA009",5.989397974108,"GSE123207","GPL570",6,6,"vehicle","KG1a",NA,TRUE,"control","control",FALSE
"GSM3498370","AZA010",5.962212888278,"GSE123207","GPL570",6,6,"vehicle","KG1a",NA,TRUE,"control","control",FALSE
"GSM3498371","AZA011",6.053766399505,"GSE123207","GPL570",6,6,"0.5uM AZA","KG1a",NA,FALSE,"AZA","high",FALSE
"GSM3498372","AZA012",6.04115673405,"GSE123207","GPL570",6,6,"0.5uM AZA","KG1a",NA,FALSE,"AZA","high",FALSE
"GSM3498373","AZA013",4.0519814038358,"GSE123207","GPL570",6,6,"vehicle","HL60",NA,TRUE,"control","control",FALSE
"GSM3498374","AZA014",4.0838137000646,"GSE123207","GPL570",6,6,"vehicle","HL60",NA,TRUE,"control","control",FALSE
"GSM3498375","AZA015",4.2209883068938,"GSE123207","GPL570",6,6,"0.5uM AZA","HL60",NA,FALSE,"AZA","high",FALSE
"GSM3498376","AZA016",4.0867725766039,"GSE123207","GPL570",6,6,"0.5uM AZA","HL60",NA,FALSE,"AZA","high",FALSE
"GSM3965439","MV411.0µM.DMSO.d4.n1",3.612780707065,"GSE134742","GPL570",6,6,"DMSO",NA,NA,TRUE,"control","control",FALSE
"GSM3965440","MV411.0µM.DMSO.d4.n2",3.672180964072,"GSE134742","GPL570",6,6,"DMSO",NA,NA,TRUE,"control","control",FALSE
"GSM3965441","MV411.0.4µM.DAC.d4.n1",3.641189541079,"GSE134742","GPL570",6,6,"DAC",NA,NA,FALSE,"DAC","high",FALSE
"GSM3965442","MV411.0.4µM.DAC.d4.n2",3.593903665963,"GSE134742","GPL570",6,6,"DAC",NA,NA,FALSE,"DAC","high",FALSE
"GSM3965443","MV411.1.0µM.GSK3484862.d4.n1",3.647781796753,"GSE134742","GPL570",6,6,"GSK3484862",NA,NA,FALSE,"GSK3484862","high",FALSE
"GSM3965444","MV411.1.0µM.GSK3484862.d4.n2",3.62722069723,"GSE134742","GPL570",6,6,"GSK3484862",NA,NA,FALSE,"GSK3484862","high",FALSE
"GSM3965445","MV411.10µM.GSK3510477.d4.n1",3.567973571134,"GSE134742","GPL570",6,6,"GSK3510477",NA,NA,FALSE,"GSK3510477","high",FALSE
"GSM3965446","MV411.10µM.GSK3510477.d4.n2",3.55538301286,"GSE134742","GPL570",6,6,"GSK3510477",NA,NA,FALSE,"GSK3510477","high",FALSE
"GSM3965447","THP1.0µM.DMSO.d4.n1",2.791828699837,"GSE134742","GPL570",6,6,"DMSO",NA,NA,TRUE,"control","control",FALSE
"GSM3965448","THP1.0µM.DMSO.d4.n2",2.91410101357,"GSE134742","GPL570",6,6,"DMSO",NA,NA,TRUE,"control","control",FALSE
"GSM3965449","THP1.1.0µM.GSK3484862.d4.n1",2.8821071312152,"GSE134742","GPL570",6,6,"GSK3484862",NA,NA,FALSE,"GSK3484862","high",FALSE
"GSM3965450","THP1.1.0µM.GSK3484862.d4.n2",2.917392757747,"GSE134742","GPL570",6,6,"GSK3484862",NA,NA,FALSE,"GSK3484862","high",FALSE
"GSM3965451","NOMO1.0µM.DMSO.d4.n1",4.808972302911,"GSE134742","GPL570",6,6,"DMSO",NA,NA,TRUE,"control","control",FALSE
"GSM3965452","NOMO1.0µM.DMSO.d4.n2",4.821036578634,"GSE134742","GPL570",6,6,"DMSO",NA,NA,TRUE,"control","control",FALSE
"GSM3965453","NOMO1.1.0µM.GSK3484862.d4.n1",4.687243511001,"GSE134742","GPL570",6,6,"GSK3484862",NA,NA,FALSE,"GSK3484862","high",FALSE
"GSM3965454","NOMO1.1.0µM.GSK3484862.d4.n2",4.678216761699,"GSE134742","GPL570",6,6,"GSK3484862",NA,NA,FALSE,"GSK3484862","high",FALSE
